"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-2208 0.00750381132080159 5 13 "GO:0000706" "meiotic DNA double-strand break processing" 0.0725860356810974
1087 0.334154565962174 5 7 "GO:0000711;GO:0043150" "meiotic DNA repair synthesis" 0.625830197645618
-1169 0.116302666030558 2 16 "GO:0000712" "resolution of meiotic recombination intermediates" 0.373191270308001
317 0.609664218973799 4 23 "GO:0000715" "nucleotide-excision repair, DNA damage recognition" 0.82201098978332
-1588 0.0171200585701872 3 20 "GO:0000722" "telomere maintenance via recombination" 0.124581052017342
-831 0.00277469318196271 2 116 "GO:0000723;GO:0032200" "telomere organization" 0.0375802130232819
-773 0.00391298572542824 5 125 "GO:0000724;GO:0000725" "recombinational repair" 0.047296088333437
-1062 0.00271490863489062 -1 71 "GO:0000726;GO:0006303" "obsolete non-recombinational repair" 0.0371278791045785
-731 0.582836768486728 2 5 "GO:0000727" "double-strand break repair via break-induced replication" 0.80697229959555
-1306 0.0182506281001861 5 29 "GO:0000729" "DNA double-strand break processing" 0.129373077685798
-412 0.661758219508611 5 10 "GO:0000730;GO:0090735;GO:0042148;GO:0000707" "DNA recombinase assembly" 0.848929667689288
-535 0.113530900268162 2 78 "GO:0000731" "DNA synthesis involved in DNA repair" 0.36904757311369
-854 0.341481137288325 -1 11 "GO:0000733" "obsolete DNA strand renaturation" 0.632328523550985
-923 0.0423184944994991 -1 43 "GO:0000737;GO:0006308;GO:0006309" "DNA catabolic process" 0.211890723437586
-1712 0.103739107024651 2 8 "GO:0000741;GO:0007344" "karyogamy" 0.35138104710826
281 0.408797759668493 3 77 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 0.689125461460676
-1035 0.296887722328691 2 9 "GO:0000820" "regulation of glutamine family amino acid metabolic process" 0.591661537834175
-1462 0.228924109403387 6 6 "GO:0000821" "regulation of arginine metabolic process" 0.525957871191253
-490 1.09336618599508e-07 2 1171 "GO:0000902;GO:0000904;GO:0048812;GO:0120039;GO:0048858;GO:0031175;GO:0032990;GO:0048667" "cell morphogenesis" 1.39819667865051e-05
242 0.282797536978466 3 178 "GO:0000910;GO:0061640" "cytokinesis" 0.578620457840757
-471 0.447953495618065 2 23 "GO:0000912;GO:0000915" "assembly of actomyosin apparatus involved in cytokinesis" 0.717103060070945
-67 0.94299532912595 5 10 "GO:0000916;GO:0036213" "actomyosin contractile ring contraction" 0.975799958396933
1114 0.177216056528209 2 13 "GO:0000920" "septum digestion after cytokinesis" 0.466112490926108
929 1.23159683858907e-05 2 200 "GO:0000956;GO:0006402" "mRNA catabolic process" 0.000722461484948487
1175 0.0533549987452519 2 24 "GO:0000959" "mitochondrial RNA metabolic process" 0.242295356517856
1239 0.167680596755928 4 11 "GO:0000963;GO:0090646" "mitochondrial RNA processing" 0.453340268776915
518 0.197997752827775 2 55 "GO:0000966" "RNA 5'-end processing" 0.491077436610083
-2256 0.011947750027854 4 11 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 0.0988278314076306
-2830 0.0198407678885513 2 6 "GO:0000973" "post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery" 0.134946595706971
-104 0.506120188404036 3 378 "GO:0001101" "response to acid chemical" 0.756813022604164
224 0.821551926856596 5 9 "GO:0001109;GO:0001111;GO:0001112;GO:0001120;GO:0001113" "RNA polymerase II promoter clearance" 0.92575192701343
-1719 0.196653458800584 3 5 "GO:0001178;GO:0010630" "regulation of transcription, start site selection" 0.489452010732166
-1259 0.231472820652137 6 8 "GO:0001188" "RNA polymerase I preinitiation complex assembly" 0.529151667947717
-1949 0.0495379121804839 -1 9 "GO:0001302" "obsolete replicative cell aging" 0.232357584154424
-165 0.868127081045379 -1 9 "GO:0001306;GO:0007571" "obsolete age-dependent response to oxidative stress" 0.948952635123983
-1298 0.102808678394771 4 14 "GO:0001325;GO:0090656;GO:0090737" "formation of extrachromosomal circular DNA" 0.349166784837864
-283 0.0715871820351108 4 371 "GO:0001501" "skeletal system development" 0.28530663255303
-306 0.561069783317036 3 32 "GO:0001502;GO:0098743" "cell aggregation" 0.792581035458412
-309 0.185141732646059 2 165 "GO:0001503" "ossification" 0.472801110138073
1297 0.0647099866616729 2 18 "GO:0001504" "neurotransmitter uptake" 0.270933915490353
99 0.51340993075725 -1 405 "GO:0001505" "obsolete regulation of neurotransmitter levels" 0.76094175697845
-1113 7.08800255044426e-05 4 114 "GO:0001508" "action potential" 0.00288946750795555
216 0.597423740874107 5 53 "GO:0001510" "RNA methylation" 0.816510504696691
-586 0.602426141718544 6 7 "GO:0001514;GO:0006451" "translational readthrough" 0.818510996631613
846 0.0692749761212012 4 41 "GO:0001516;GO:0046457;GO:0019371" "prostanoid biosynthetic process" 0.280088381613927
-399 0.603710631568919 2 15 "GO:0001522" "pseudouridine synthesis" 0.819092657192681
423 0.155109730219235 4 101 "GO:0001523;GO:0016101;GO:0006721;GO:0006720" "isoprenoid metabolic process" 0.436169438230601
-494 0.0087934061662987 2 255 "GO:0001525" "angiogenesis" 0.0800926481870568
-311 0.317890224892593 3 92 "GO:0001539;GO:0060285;GO:0060294;GO:0030317;GO:0097722" "cilium or flagellum-dependent cell motility" 0.610204172309589
