	SRR14729874.clean.fastq.gz.samSYM.counts	SRR14729875.clean.fastq.gz.samSYM.counts	SRR14729876.clean.fastq.gz.samSYM.counts	SRR14729877.clean.fastq.gz.samSYM.counts	SRR14729879.clean.fastq.gz.samSYM.counts	SRR14729880.clean.fastq.gz.samSYM.counts	SRR14729882.clean.fastq.gz.samSYM.counts	SRR14729883.clean.fastq.gz.samSYM.counts	SRR14729884.clean.fastq.gz.samSYM.counts	SRR14729885.clean.fastq.gz.samSYM.counts	SRR14729886.clean.fastq.gz.samSYM.counts	SRR14729887.clean.fastq.gz.samSYM.counts	SRR14729888.clean.fastq.gz.samSYM.counts	SRR14729891.clean.fastq.gz.samSYM.counts	SRR14729892.clean.fastq.gz.samSYM.counts	
evm.model.scaffold_2639.1	1	0	3	3	3	5	5	2	4	0	0	0	0	2	8	
evm.model.scaffold_2639.2	11	7	33	42	11	52	10	14	13	2	2	18	5	16	55	
evm.model.scaffold_264.1	4	15	31	35	6	65	21	16	33	6	7	18	10	8	44	
evm.model.scaffold_2640.3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_2640.4	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	
evm.model.scaffold_2640.5	0	0	0	4	0	1	0	0	0	0	0	0	0	0	2	
evm.model.scaffold_2641.1	3	4	16	24	2	27	3	5	9	3	0	7	4	5	30	
evm.model.scaffold_2643.1	5	7	6	13	2	12	8	2	3	1	3	8	5	5	11	
evm.model.scaffold_2646.1	26	19	33	69	32	82	55	22	29	14	46	50	17	19	65	
evm.model.scaffold_2646.2	15	16	23	35	20	54	18	6	21	10	8	25	10	10	34	
evm.model.scaffold_2646.3	10	8	22	23	9	39	13	10	20	2	7	20	9	8	35	
evm.model.scaffold_2646.4	4	0	3	12	2	15	5	0	6	2	1	9	0	2	12	
evm.model.scaffold_2646.6	0	2	1	2	0	3	0	2	0	0	0	1	0	1	0	
evm.model.scaffold_2648.2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	
evm.model.scaffold_2648.3	0	1	3	3	1	0	0	2	0	1	0	0	0	0	3	
evm.model.scaffold_2648.4	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	
evm.model.scaffold_2649.1	0	2	4	8	1	16	3	2	5	1	3	1	0	0	11	
evm.model.scaffold_2650.2	4	3	9	10	0	4	1	1	3	3	0	2	2	0	6	
evm.model.scaffold_2650.3	0	0	0	2	0	4	0	0	0	0	1	0	1	0	1	
evm.model.scaffold_2651.2	1	1	2	14	6	23	0	2	5	0	2	6	4	9	18	
evm.model.scaffold_2653.1	5	6	12	17	2	19	6	7	2	2	3	5	2	3	11	
evm.model.scaffold_2655.1	14	22	14	42	19	3	30	9	18	11	17	17	11	13	42	
evm.model.scaffold_2655.2	1	0	3	1	6	4	2	0	1	0	3	4	1	2	2	
evm.model.scaffold_2655.3	6	4	5	17	4	18	3	4	6	2	0	6	0	3	16	
evm.model.scaffold_2655.4	1	2	11	10	1	22	7	4	6	0	2	5	0	7	19	
evm.model.scaffold_2657.1	0	4	4	8	0	13	10	5	8	1	2	1	2	1	12	
evm.model.scaffold_2657.2	3	2	8	16	4	20	8	7	12	0	2	9	8	5	21	
evm.model.scaffold_2657.4	6	8	15	30	3	32	4	7	10	1	8	13	2	5	32	
evm.model.scaffold_2657.5	5	2	5	9	2	24	5	6	5	0	3	7	1	3	10	
evm.model.scaffold_2657.6	2	2	6	11	2	9	4	1	5	1	1	4	0	1	9	
evm.model.scaffold_2657.7	0	0	0	1	0	1	0	0	0	0	1	0	0	0	5	
evm.model.scaffold_2657.8	0	0	0	0	0	0	1	0	0	3	0	0	1	0	1	
evm.model.scaffold_2657.9	0	0	1	6	1	0	1	0	0	0	0	2	0	0	0	
evm.model.scaffold_2658.1	1	1	7	13	2	8	5	2	1	1	0	4	0	4	12	
evm.model.scaffold_2658.3	5	3	10	9	1	9	7	5	2	0	2	2	1	0	2	
evm.model.scaffold_2658.4	13	6	9	10	9	18	13	4	8	4	6	6	11	7	13	
evm.model.scaffold_2658.5	1	1	4	2	1	3	0	1	3	0	0	1	0	2	3	
evm.model.scaffold_2659.1	4	2	2	9	3	1	5	1	7	2	3	1	3	1	5	
evm.model.scaffold_266.1	24	37	61	102	34	143	46	18	57	5	23	57	22	51	205	
evm.model.scaffold_2661.1	0	1	7	12	4	20	1	4	2	1	1	3	1	2	13	
evm.model.scaffold_2662.1	0	0	2	1	0	2	0	1	0	1	0	1	0	1	1	
evm.model.scaffold_2663.1	6	9	21	37	9	36	7	9	21	7	4	15	4	10	45	
evm.model.scaffold_2664.1	0	1	3	2	0	2	1	2	5	0	0	1	4	2	1	
evm.model.scaffold_2664.2	0	0	1	3	1	4	0	2	0	0	0	0	0	1	0	
evm.model.scaffold_2664.4	0	1	4	2	2	4	1	0	0	0	0	0	1	1	2	
evm.model.scaffold_2665.1	0	2	8	8	1	13	1	0	1	0	0	6	2	1	6	
evm.model.scaffold_2666.1	2	2	6	3	0	10	1	2	2	2	0	2	2	3	4	
evm.model.scaffold_2667.1	6	2	11	9	3	14	1	0	7	0	4	3	0	3	7	
evm.model.scaffold_2668.2	0	3	3	2	0	5	0	0	4	0	1	4	1	1	5	
evm.model.scaffold_2668.4	1	0	3	4	0	2	1	0	3	0	1	1	0	3	6	
evm.model.scaffold_2669.4	3	2	14	17	1	23	10	4	10	3	0	17	4	4	11	
evm.model.scaffold_2669.5	9	16	12	39	18	55	28	10	12	3	18	33	19	9	63	
evm.model.scaffold_2669.6	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_2669.7	0	1	4	3	1	5	0	0	3	2	0	1	0	3	2	
evm.model.scaffold_267.1	1	4	4	6	3	11	3	6	3	0	3	7	2	1	7	
evm.model.scaffold_267.3	0	0	4	1	0	4	0	0	1	0	0	0	0	2	2	
evm.model.scaffold_2670.1	5	1	2	4	1	7	3	1	4	2	1	2	0	5	7	
evm.model.scaffold_2670.2	1	9	11	10	4	18	2	6	8	0	5	12	1	5	18	
evm.model.scaffold_2670.3	6	14	23	50	6	60	11	19	12	3	8	14	10	2	50	
evm.model.scaffold_2670.4	16	32	76	89	35	130	23	26	17	5	11	33	17	20	101	
evm.model.scaffold_2672.1	0	0	0	2	0	1	0	0	0	0	1	0	0	0	4	
evm.model.scaffold_2672.2	1	0	2	2	1	1	2	0	0	1	0	0	1	0	2	
evm.model.scaffold_2672.3	1	5	2	6	6	4	2	2	5	4	5	4	6	5	4	
evm.model.scaffold_2672.4	7	20	55	72	16	77	17	19	20	5	9	29	7	15	95	
evm.model.scaffold_2673.1	0	1	1	1	0	2	1	0	0	0	1	1	1	2	0	
evm.model.scaffold_2673.3	13	17	36	32	10	73	19	27	12	11	9	19	9	15	66	
evm.model.scaffold_2673.5	6	10	20	31	12	46	12	6	17	4	3	21	5	7	59	
evm.model.scaffold_2674.1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	
evm.model.scaffold_2674.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_2675.1	0	0	0	0	0	3	0	1	1	0	0	0	1	0	2	
evm.model.scaffold_2675.3	1	0	8	16	3	17	0	2	3	0	0	4	0	0	7	
evm.model.scaffold_2676.1	1	0	3	1	0	2	0	1	2	0	0	1	0	0	2	
evm.model.scaffold_2676.3	14	15	28	58	18	74	36	23	22	7	29	37	15	26	76	
evm.model.scaffold_268.1	0	0	0	0	0	2	0	1	2	0	0	0	0	1	1	
evm.model.scaffold_268.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
evm.model.scaffold_268.4	41	19	44	76	47	100	40	22	44	17	32	41	34	29	95	
evm.model.scaffold_268.5	4	9	12	15	4	25	2	3	9	0	2	13	5	10	24	
evm.model.scaffold_268.6	1	0	22	0	0	0	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_2680.1	0	1	2	3	0	3	1	0	4	0	0	0	0	0	3	
evm.model.scaffold_2683.2	4	8	5	23	5	24	6	5	8	0	4	6	1	6	28	
evm.model.scaffold_2683.4	2	3	4	9	2	6	5	3	6	2	1	3	0	3	8	
evm.model.scaffold_2683.5	1	1	3	7	2	13	1	4	6	0	0	8	4	1	11	
evm.model.scaffold_2683.6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	
evm.model.scaffold_2685.2	3	10	5	26	7	28	6	6	2	2	1	12	4	3	21	
evm.model.scaffold_2685.5	3	5	5	6	1	5	4	1	0	0	0	4	1	1	6	
evm.model.scaffold_2685.6	3	6	15	30	8	35	14	12	9	0	1	12	0	5	43	
evm.model.scaffold_2685.7	17	11	27	42	15	67	36	15	23	5	14	19	13	12	36	
evm.model.scaffold_2685.8	0	0	1	1	0	3	0	1	0	0	0	0	0	0	1	
evm.model.scaffold_2686.1	0	1	3	9	2	11	3	3	1	2	2	3	0	1	10	
evm.model.scaffold_2686.2	5	5	23	17	3	53	10	3	17	1	11	14	4	12	31	
evm.model.scaffold_2686.3	7	16	29	38	12	43	19	14	22	6	5	15	8	10	38	
evm.model.scaffold_2686.4	0	0	5	5	2	9	3	0	2	0	1	1	6	1	6	
evm.model.scaffold_2687.3	1	6	8	16	4	12	8	2	1	3	4	7	1	1	12	
evm.model.scaffold_269.1	15	9	35	49	10	51	11	7	8	5	4	23	3	4	43	
evm.model.scaffold_2690.2	0	1	4	5	1	7	1	2	2	0	0	2	0	0	9	
evm.model.scaffold_2691.1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	2	
evm.model.scaffold_2692.3	0	1	2	0	2	1	0	0	0	0	0	1	0	0	0	
evm.model.scaffold_2693.1	2	1	6	3	4	9	1	1	2	0	1	1	2	1	11	
evm.model.scaffold_2693.2	0	0	2	1	0	0	1	0	1	0	2	2	0	0	6	
evm.model.scaffold_2694.1	1	2	7	8	1	16	3	5	2	0	0	7	4	7	7	
evm.model.scaffold_2694.2	2	0	4	7	0	10	4	4	1	0	0	4	0	0	14	
evm.model.scaffold_2695.1	2	1	0	5	0	5	1	0	2	0	0	0	0	0	8	
evm.model.scaffold_2696.1	2	0	3	5	2	2	4	2	6	2	1	0	2	1	6	
evm.model.scaffold_2697.2	0	2	2	1	2	1	0	0	1	0	0	0	1	0	1	
evm.model.scaffold_27.1	5	0	4	7	5	7	4	1	1	2	4	6	5	3	6	
evm.model.scaffold_270.1	1	0	5	10	1	3	0	4	3	1	3	4	0	2	10	
evm.model.scaffold_270.2	0	1	1	3	2	7	1	0	3	0	1	3	0	0	1	
evm.model.scaffold_270.3	0	0	4	2	0	2	3	1	4	0	1	1	2	2	6	
evm.model.scaffold_2700.2	17	16	25	52	29	52	32	17	23	1	23	24	18	20	49	
evm.model.scaffold_2700.3	0	11	5	22	3	28	12	9	4	2	3	5	4	0	14	
evm.model.scaffold_2704.1	3	2	3	4	0	5	4	0	5	0	1	2	0	3	9	
evm.model.scaffold_2704.2	5	5	21	46	5	46	9	13	11	3	13	11	10	10	42	
evm.model.scaffold_2704.3	10	5	15	28	8	23	8	9	10	1	12	9	9	4	25	
evm.model.scaffold_2706.1	2	7	15	33	5	42	8	15	15	5	10	12	2	9	39	
evm.model.scaffold_2706.2	2	2	6	23	4	20	7	3	11	3	2	5	3	4	22	
evm.model.scaffold_2706.3	2	6	4	10	2	11	6	5	7	0	6	6	1	1	17	
evm.model.scaffold_2708.1	0	0	0	1	2	5	0	0	0	0	0	0	2	0	7	
evm.model.scaffold_2708.2	0	2	3	3	2	8	2	1	1	0	0	1	7	3	8	
evm.model.scaffold_2708.3	5	9	32	38	11	46	39	14	23	9	15	13	10	9	57	
evm.model.scaffold_2708.4	2	6	6	6	2	15	7	0	9	2	3	7	3	1	14	
evm.model.scaffold_2708.6	1	1	1	6	1	7	0	1	2	1	1	0	0	0	2	
evm.model.scaffold_2709.1	8	12	11	21	19	30	17	8	5	7	14	9	6	6	38	
evm.model.scaffold_2709.2	100	83	147	200	94	330	212	81	194	40	142	179	138	83	273	
evm.model.scaffold_2710.1	1	0	1	3	0	3	0	0	0	0	0	0	1	2	5	
evm.model.scaffold_2711.1	32	57	77	148	53	223	121	42	66	17	95	101	58	46	179	
evm.model.scaffold_2712.1	3	0	3	6	3	13	1	3	0	1	1	4	1	2	12	
evm.model.scaffold_2712.2	0	1	6	3	0	3	0	0	1	0	0	4	0	0	6	
evm.model.scaffold_2712.5	1	1	2	1	0	0	2	0	1	0	0	1	0	0	1	
evm.model.scaffold_2712.6	0	0	1	0	1	3	0	1	0	0	0	0	0	0	3	
evm.model.scaffold_2712.7	5	15	33	53	12	62	15	7	24	2	7	11	0	6	54	
evm.model.scaffold_2712.8	2	3	7	14	8	22	5	6	0	0	7	4	0	4	14	
evm.model.scaffold_2712.9	1	0	1	10	5	7	2	1	6	1	2	4	0	1	7	
evm.model.scaffold_2714.1	103	27	64	74	181	114	75	32	48	51	45	48	84	34	71	
evm.model.scaffold_2714.2	10	18	37	39	9	52	23	18	33	7	19	32	6	19	67	
evm.model.scaffold_2714.4	0	0	4	3	0	1	0	0	4	0	2	1	0	0	2	
evm.model.scaffold_2714.5	69	13	45	48	35	53	31	32	22	5	38	50	47	20	29	
evm.model.scaffold_2715.1	1	1	6	5	1	0	3	3	5	0	0	3	1	1	3	
evm.model.scaffold_2716.2	5	8	5	19	8	20	6	4	6	0	2	1	3	2	24	
evm.model.scaffold_2717.1	16	7	21	36	22	43	20	11	16	6	9	16	12	18	36	
evm.model.scaffold_2718.1	2	5	4	12	3	11	7	5	10	3	6	3	3	6	10	
evm.model.scaffold_2718.2	0	0	3	1	2	0	1	0	2	0	0	5	0	2	6	
evm.model.scaffold_2718.3	1	0	1	3	2	10	0	2	0	0	1	2	1	1	7	
evm.model.scaffold_2718.6	1	0	0	1	0	2	2	1	2	0	1	1	0	1	0	
evm.model.scaffold_2719.1	2	4	13	15	1	25	4	4	8	1	2	4	2	1	8	
evm.model.scaffold_272.1	1	2	5	2	1	9	1	0	2	0	1	1	2	2	6	
evm.model.scaffold_272.2	0	0	4	5	1	9	3	0	5	0	1	1	2	1	5	
evm.model.scaffold_2720.2	128	63	117	149	110	309	163	94	100	46	92	157	135	64	217	
evm.model.scaffold_2720.3	15	4	8	23	5	35	10	6	11	2	9	6	2	7	29	
evm.model.scaffold_2720.4	4	4	24	26	7	35	2	5	14	2	2	8	7	9	32	
evm.model.scaffold_2722.1	1	2	3	5	0	7	1	0	0	0	0	6	0	1	3	
evm.model.scaffold_2723.1	2	4	14	15	2	18	5	2	5	0	1	4	2	3	11	
evm.model.scaffold_2723.3	0	2	1	1	0	4	1	2	0	0	0	1	1	0	3	
evm.model.scaffold_2724.2	4	2	9	8	2	20	2	0	9	2	3	3	1	1	19	
evm.model.scaffold_2726.1	0	0	2	5	0	5	2	0	1	0	1	3	0	2	3	
evm.model.scaffold_2727.1	1	1	1	2	0	2	0	0	0	1	1	3	1	2	5	
evm.model.scaffold_2727.2	1	1	9	7	1	9	2	1	3	2	0	3	0	0	8	
evm.model.scaffold_2727.3	0	0	2	4	0	4	1	0	1	0	0	0	0	0	5	
evm.model.scaffold_2727.4	0	0	0	1	0	2	0	0	2	0	3	1	0	0	3	
evm.model.scaffold_2727.5	0	1	3	4	1	3	3	1	6	0	0	2	0	1	6	
evm.model.scaffold_2729.2	22	14	25	48	48	48	34	12	29	4	21	27	15	23	55	
evm.model.scaffold_2729.3	4	2	4	5	1	6	3	2	2	2	1	2	0	2	17	
evm.model.scaffold_2729.4	1	0	3	4	1	5	3	2	1	0	1	1	0	0	9	
evm.model.scaffold_273.2	9	4	9	22	3	19	5	6	8	3	4	12	3	9	22	
evm.model.scaffold_273.3	1	0	4	3	0	2	1	0	1	0	1	0	1	1	5	
evm.model.scaffold_273.4	7	5	21	27	5	56	8	7	20	0	6	7	0	2	32	
evm.model.scaffold_273.5	6	10	28	30	6	51	10	8	27	4	5	20	4	6	38	
evm.model.scaffold_273.6	1	1	4	8	0	17	1	0	5	0	1	4	1	2	5	
evm.model.scaffold_273.7	0	0	0	2	0	1	0	3	0	0	0	0	0	0	6	
evm.model.scaffold_2730.1	8	7	12	33	2	32	9	2	10	2	2	9	8	5	13	
evm.model.scaffold_2730.2	3	2	13	20	3	16	7	3	5	2	1	3	4	5	23	
evm.model.scaffold_2732.1	7	11	15	30	8	36	23	8	9	6	8	5	8	10	33	
evm.model.scaffold_2732.2	8	5	22	26	8	22	10	11	10	4	11	11	1	5	24	
evm.model.scaffold_2732.3	0	10	10	11	5	21	5	0	4	4	2	8	0	2	23	
evm.model.scaffold_2732.4	5	9	15	23	3	41	8	12	14	3	8	8	7	4	45	
evm.model.scaffold_2732.5	1	3	7	5	4	18	7	5	4	1	5	9	3	1	13	
evm.model.scaffold_2732.6	3	5	10	17	6	22	7	4	15	0	7	4	2	2	15	
evm.model.scaffold_2732.7	0	0	3	3	0	6	2	0	2	0	0	1	1	0	3	
evm.model.scaffold_2732.8	4	11	16	36	6	41	4	4	9	1	4	10	2	8	23	
evm.model.scaffold_2732.9	12	3	3	16	5	23	6	1	8	0	5	4	3	1	20	
evm.model.scaffold_2737.1	0	2	3	4	2	11	1	0	3	0	0	1	1	0	7	
evm.model.scaffold_2738.1	11	12	18	41	8	47	10	13	24	4	6	17	8	12	47	
evm.model.scaffold_2739.1	1	6	8	10	3	19	4	0	9	1	1	5	0	3	16	
evm.model.scaffold_2739.2	0	3	11	12	5	20	13	1	8	0	5	3	4	4	17	
evm.model.scaffold_2739.3	5	1	4	8	3	13	3	3	1	3	1	5	4	5	16	
evm.model.scaffold_2739.4	0	0	2	3	0	4	0	0	1	0	0	1	0	0	5	
evm.model.scaffold_2739.5	5	12	24	22	7	35	8	8	13	2	3	12	2	16	29	
evm.model.scaffold_2739.6	0	4	9	12	1	18	3	7	5	3	2	4	3	3	10	
evm.model.scaffold_274.2	0	2	1	0	0	3	0	0	1	0	0	0	0	1	5	
evm.model.scaffold_2741.1	0	2	2	2	0	4	0	1	1	0	1	2	0	0	2	
evm.model.scaffold_2742.1	0	0	3	2	0	7	1	0	2	0	1	1	0	0	5	
evm.model.scaffold_2743.1	1	1	4	7	1	5	1	2	5	0	1	5	0	2	11	
evm.model.scaffold_2744.1	0	0	0	1	1	2	1	1	0	0	0	1	1	0	2	
evm.model.scaffold_2746.1	0	1	3	9	0	7	0	0	9	0	0	10	6	4	10	
evm.model.scaffold_2746.2	5	2	17	4	4	14	3	4	11	5	2	7	2	0	13	
evm.model.scaffold_2746.3	5	4	11	18	4	24	8	2	13	5	5	12	6	7	17	
evm.model.scaffold_2746.4	0	2	3	6	0	8	3	1	3	0	0	0	0	1	7	
evm.model.scaffold_2746.6	3	4	8	8	0	18	6	0	2	2	3	3	1	3	5	
evm.model.scaffold_2748.1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	
evm.model.scaffold_2748.10	0	2	4	8	2	11	6	1	3	2	2	6	3	4	8	
evm.model.scaffold_2748.11	33	12	28	40	37	71	38	12	29	13	23	32	21	28	60	
evm.model.scaffold_2748.12	3	1	2	4	2	3	3	0	2	0	1	2	1	1	6	
evm.model.scaffold_2748.13	4	1	7	8	1	13	3	3	4	1	0	12	1	3	16	
evm.model.scaffold_2748.14	0	3	8	15	4	17	1	3	5	0	4	5	2	0	15	
evm.model.scaffold_2748.15	1	2	14	8	2	6	6	2	2	1	0	6	6	4	6	
evm.model.scaffold_2748.16	3	1	13	20	4	18	1	2	3	2	5	6	2	5	10	
evm.model.scaffold_2748.18	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	
evm.model.scaffold_2748.19	0	2	3	3	0	4	1	2	2	0	1	0	0	0	3	
evm.model.scaffold_2748.21	11	6	14	25	4	26	4	5	11	2	5	11	0	6	28	
evm.model.scaffold_2748.22	2	4	17	19	6	24	9	3	9	3	2	6	1	2	31	
evm.model.scaffold_2748.23	2	3	3	3	4	10	2	0	3	0	3	5	5	1	6	
evm.model.scaffold_2748.3	3	0	9	13	1	21	6	6	4	1	0	6	5	5	12	
evm.model.scaffold_2748.7	8	14	22	21	17	41	22	11	5	3	6	17	15	5	35	
evm.model.scaffold_2748.8	9	7	19	40	10	31	13	7	12	0	9	16	18	8	40	
evm.model.scaffold_2749.1	0	2	13	12	2	8	5	1	7	0	0	7	2	2	18	
evm.model.scaffold_2749.2	2	7	14	13	0	20	11	2	5	2	1	8	3	2	20	
evm.model.scaffold_275.1	5	6	23	21	15	57	11	10	30	5	12	14	7	13	60	
evm.model.scaffold_275.4	0	1	1	7	0	7	0	1	0	0	2	0	0	1	5	
evm.model.scaffold_275.5	1	0	2	6	3	11	0	2	2	1	0	1	1	4	16	
evm.model.scaffold_275.6	1	1	2	1	0	3	2	0	1	0	0	0	0	0	6	
evm.model.scaffold_275.7	3	1	3	11	2	17	1	1	4	2	1	4	1	3	18	
evm.model.scaffold_275.8	4	11	6	19	3	22	5	10	5	1	1	5	3	4	11	
evm.model.scaffold_2750.1	0	2	9	12	0	10	2	1	6	2	3	4	0	1	11	
evm.model.scaffold_2750.2	5	4	12	35	2	32	3	2	22	0	3	8	1	3	40	
evm.model.scaffold_2750.3	0	0	1	3	0	3	0	0	0	0	0	2	0	0	2	
evm.model.scaffold_2751.1	0	1	2	5	2	6	1	2	2	2	2	2	0	1	4	
evm.model.scaffold_2752.1	2	1	7	1	0	6	1	3	4	0	1	0	2	1	10	
evm.model.scaffold_2752.2	2	3	6	18	7	22	11	4	5	2	6	7	17	7	24	
evm.model.scaffold_2752.5	1	2	1	7	2	7	3	0	1	0	0	5	2	2	3	
evm.model.scaffold_2752.6	5	10	13	30	6	27	11	12	10	3	4	8	11	4	27	
evm.model.scaffold_2756.1	1	1	3	3	0	3	0	1	3	2	2	2	1	3	12	
evm.model.scaffold_2757.1	0	0	4	9	0	10	1	4	2	0	1	2	0	0	9	
evm.model.scaffold_2758.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_2758.3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_2759.1	8	9	14	34	7	29	7	8	12	4	10	17	11	11	45	
evm.model.scaffold_2759.2	2	5	3	8	6	11	3	7	1	1	3	4	1	0	13	
evm.model.scaffold_2760.1	12	19	27	47	7	72	20	10	14	3	9	23	3	9	49	
evm.model.scaffold_2761.1	0	0	0	3	0	3	0	0	0	0	0	2	0	0	4	
evm.model.scaffold_2761.2	6	11	14	30	7	37	5	11	11	4	6	11	3	8	34	
evm.model.scaffold_2761.3	0	2	0	2	2	8	3	1	4	0	0	1	0	2	11	
evm.model.scaffold_2764.1	0	2	0	5	0	5	0	1	1	0	2	0	0	0	0	
evm.model.scaffold_2766.3	1	3	10	11	2	10	0	3	1	1	1	3	2	2	18	
evm.model.scaffold_2766.4	5	2	6	11	2	11	1	3	6	3	7	8	3	11	3	
evm.model.scaffold_2766.6	0	1	2	3	3	6	2	3	0	0	1	2	3	0	8	
evm.model.scaffold_2766.7	0	1	1	1	1	5	1	1	0	0	0	1	0	2	3	
evm.model.scaffold_2766.8	1	4	7	3	3	5	2	1	5	0	3	3	1	0	13	
evm.model.scaffold_2766.9	2	0	5	7	1	4	1	1	1	1	1	4	1	1	10	
evm.model.scaffold_2767.1	0	2	1	5	0	1	0	0	1	0	0	0	0	0	0	
evm.model.scaffold_2768.2	3	4	12	3	3	11	7	5	6	1	0	7	2	2	15	
evm.model.scaffold_2768.5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_2769.1	1	0	3	6	1	4	0	0	1	0	0	3	0	3	9	
evm.model.scaffold_277.1	0	1	0	6	1	5	2	1	7	1	0	3	0	2	3	
evm.model.scaffold_277.10	1	1	2	2	0	5	0	0	0	0	0	0	0	0	2	
evm.model.scaffold_277.11	0	0	3	1	0	3	1	0	2	1	1	1	0	1	6	
evm.model.scaffold_277.15	6	4	14	29	11	39	23	8	11	0	9	13	8	11	36	
evm.model.scaffold_277.3	0	2	7	6	0	8	0	2	5	0	0	3	2	1	8	
evm.model.scaffold_277.4	2	6	8	7	1	15	5	4	4	1	0	2	2	0	2	
evm.model.scaffold_277.5	44	52	85	148	27	234	24	54	64	3	10	77	35	48	113	
evm.model.scaffold_277.6	2	0	10	16	4	19	10	4	5	0	2	5	5	6	19	
evm.model.scaffold_277.7	4	2	7	10	4	11	9	2	5	3	10	1	4	5	11	
evm.model.scaffold_277.8	1	4	2	8	6	13	5	4	1	1	0	3	1	5	19	
evm.model.scaffold_277.9	2	1	2	0	1	6	0	2	1	0	3	0	0	0	7	
evm.model.scaffold_2770.1	2	4	3	10	1	7	1	0	1	0	0	9	0	3	9	
evm.model.scaffold_2771.1	4	5	20	18	12	50	4	8	13	5	8	15	4	9	42	
evm.model.scaffold_2771.2	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	
evm.model.scaffold_2771.6	0	0	5	6	3	1	1	1	1	0	2	4	2	1	2	
evm.model.scaffold_2771.7	9	11	22	35	9	45	16	13	29	3	5	16	7	6	53	
evm.model.scaffold_2771.8	0	3	7	10	4	17	7	9	13	2	6	6	4	5	13	
evm.model.scaffold_2771.9	0	0	4	0	1	4	0	0	2	0	0	0	0	1	5	
evm.model.scaffold_2773.1	1	1	3	9	0	4	2	4	5	0	3	1	2	1	6	
evm.model.scaffold_2774.1	5	2	13	25	2	44	1	8	5	3	2	9	5	5	23	
evm.model.scaffold_2774.2	9	7	15	26	7	33	6	13	14	6	4	17	3	8	29	
evm.model.scaffold_2774.3	0	2	4	6	3	12	7	2	5	1	0	2	0	2	7	
evm.model.scaffold_2774.4	0	0	0	2	0	6	0	0	0	1	1	1	0	0	2	
evm.model.scaffold_2775.1	0	3	4	4	2	6	0	0	3	0	1	3	2	1	5	
evm.model.scaffold_2775.2	0	0	2	4	1	4	2	2	0	0	3	4	0	0	2	
evm.model.scaffold_2776.1	0	0	1	3	0	7	0	3	1	0	0	0	3	0	4	
evm.model.scaffold_2776.10	5	9	35	34	4	51	13	17	13	0	5	12	4	12	50	
evm.model.scaffold_2776.13	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	
evm.model.scaffold_2776.14	10	6	6	22	1	17	4	4	3	2	0	12	3	3	18	
evm.model.scaffold_2776.15	6	6	15	21	6	33	2	5	18	0	4	6	1	2	25	
evm.model.scaffold_2776.20	2	4	3	16	1	13	6	2	10	1	3	10	0	4	19	
evm.model.scaffold_2776.8	3	3	1	8	2	19	5	3	6	2	0	6	4	2	29	
evm.model.scaffold_2776.9	3	6	1	11	1	15	2	3	2	1	1	3	0	8	20	
evm.model.scaffold_2779.1	3	0	1	3	0	10	5	1	2	0	2	2	0	0	4	
evm.model.scaffold_2779.2	4	12	15	19	6	34	11	8	16	0	4	11	2	9	28	
evm.model.scaffold_2779.4	0	1	0	3	0	2	2	0	3	0	1	0	0	0	2	
evm.model.scaffold_2779.5	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	
evm.model.scaffold_2779.6	3	2	5	1	2	17	0	2	4	4	1	5	1	1	5	
evm.model.scaffold_278.2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	
evm.model.scaffold_2780.1	0	1	1	0	0	6	0	1	6	1	1	1	0	2	2	
evm.model.scaffold_2780.2	0	0	3	2	1	0	0	1	1	1	0	1	0	3	2	
evm.model.scaffold_2780.3	3	0	0	0	1	4	1	2	3	0	1	5	3	0	6	
evm.model.scaffold_2780.4	1	1	4	9	6	4	2	3	5	0	1	8	4	0	11	
evm.model.scaffold_2780.5	0	1	0	3	0	2	2	0	0	0	0	1	0	0	3	
evm.model.scaffold_2783.1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	
evm.model.scaffold_2789.1	7	9	15	32	8	44	9	13	15	4	6	21	9	8	33	
evm.model.scaffold_279.1	2	1	0	3	0	7	3	2	5	0	0	2	0	3	5	
