"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
371 0.657631290470491 4 12 "GO:0001325;GO:0090656;GO:0090737" "formation of extrachromosomal circular DNA" 0.869299048541574
539 0.000541464219134171 4 358 "GO:0001501" "skeletal system development" 0.0164439482794096
271 0.608050729681211 3 30 "GO:0001502;GO:0098743" "cell aggregation" 0.839079118016658
472 0.0413152423296464 2 159 "GO:0001503" "ossification" 0.23767491307571
1781 0.0112186872972849 2 17 "GO:0001504" "neurotransmitter uptake" 0.112028117963925
722 1.4306173656148e-06 -1 388 "GO:0001505" "obsolete regulation of neurotransmitter levels" 0.000200859123512916
1391 6.72808622658812e-07 4 108 "GO:0001508" "action potential" 0.000104742389638403
219 0.583234571945485 5 53 "GO:0001510" "RNA methylation" 0.822847457807051
582 0.594604379545879 6 7 "GO:0001514;GO:0006451" "translational readthrough" 0.830510757531532
-1690 0.000273153554319507 4 39 "GO:0001516;GO:0046457;GO:0019371" "prostanoid biosynthetic process" 0.010419334423088
-270 0.718491024508883 2 15 "GO:0001522" "pseudouridine synthesis" 0.896760546002516
-131 0.656760699480607 4 98 "GO:0001523;GO:0016101;GO:0006721;GO:0006720" "isoprenoid metabolic process" 0.868935321332789
522 0.00492955325024128 2 249 "GO:0001525" "angiogenesis" 0.0700393572534281
-705 0.0221158021541268 3 89 "GO:0001539;GO:0060285;GO:0060294;GO:0030317;GO:0097722" "cilium or flagellum-dependent cell motility" 0.167211261286737
-79 0.841314220372345 2 54 "GO:0001541" "ovarian follicle development" 0.949925559322466
1111 0.310089932032807 2 7 "GO:0001542" "ovulation from ovarian follicle" 0.638034696020298
1396 0.280893358150875 2 5 "GO:0001547" "antral ovarian follicle growth" 0.616146264523956
689 0.528762098848125 2 7 "GO:0001553" "luteinization" 0.791427861480463
1116 0.30797741167772 3 7 "GO:0001554" "luteolysis" 0.636023783324717
-158 0.869981881390237 2 9 "GO:0001555" "oocyte growth" 0.958335162596638
31 0.943045380991906 3 44 "GO:0001556" "oocyte maturation" 0.978211814120017
422 0.00451899632530078 4 394 "GO:0001558" "regulation of cell growth" 0.0678588776408214
-303 0.753217376555061 2 9 "GO:0001561" "fatty acid alpha-oxidation" 0.910484118481384
1287 0.123767928859033 2 12 "GO:0001562;GO:0042832" "response to protozoan" 0.419639447518422
573 7.22504050219461e-05 2 420 "GO:0001568;GO:0001944;GO:0048514" "vasculature development" 0.00424872520642944
622 0.225118076616101 2 32 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.562662300113679
708 0.0348956926214124 3 75 "GO:0001570" "vasculogenesis" 0.217337255435537
-414 0.149107747697415 3 103 "GO:0001578;GO:0035082" "microtubule bundle formation" 0.461616253435724
897 0.0166853345790992 3 60 "GO:0001649" "osteoblast differentiation" 0.144155503293284
418 7.08483826060347e-05 3 826 "GO:0001654;GO:0007423" "sensory organ development" 0.00420521568159744
376 0.00741194785340579 2 445 "GO:0001655" "urogenital system development" 0.0908750594922397
353 0.345750344527103 5 60 "GO:0001656" "metanephros development" 0.665473046051376
598 0.0461565084232279 5 94 "GO:0001657;GO:0072164;GO:0072163;GO:0001823" "mesonephric tubule development" 0.252055017193397
272 0.533428168706167 2 44 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.794512734393261
597 0.368938530219029 2 19 "GO:0001659" "temperature homeostasis" 0.682332150675904
1550 0.129865813183668 2 8 "GO:0001661" "conditioned taste aversion" 0.430693357456645
600 0.249137265608447 3 31 "GO:0001662;GO:0002209;GO:0042596" "fear response" 0.584942984798243
233 0.152156691135081 2 327 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.466383757431901
698 2.21772677186159e-06 4 401 "GO:0001667" "ameboidal-type cell migration" 0.000293432973501937
1110 0.203718790233991 4 11 "GO:0001675" "acrosome assembly" 0.5372998491595
-647 0.0239455901007787 3 103 "GO:0001676" "long-chain fatty acid metabolic process" 0.175610211004672
-49 0.86544568943127 2 102 "GO:0001678;GO:0071322;GO:0071326;GO:0071331;GO:0071333" "cellular response to carbohydrate stimulus" 0.95762614535719
-1071 0.166473362281293 2 14 "GO:0001682;GO:0099116" "tRNA 5'-end processing" 0.488553867419257
7 0.973921801041499 2 169 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.991082698767441
18 0.907653550492475 2 351 "GO:0001701" "in utero embryonic development" 0.968842052962574
1927 1.65450256096156e-05 5 42 "GO:0001702" "gastrulation with mouth forming second" 0.00143941722803656
737 0.051135520451223 5 59 "GO:0001703;GO:0010004" "gastrulation with mouth forming first" 0.269009855392133
569 0.0176620588409146 2 148 "GO:0001704" "formation of primary germ layer" 0.147594389077169
-116 0.921822912561435 4 6 "GO:0001705" "ectoderm formation" 0.973114946107488
562 0.115587908135419 2 66 "GO:0001706;GO:0035987" "endoderm formation" 0.406928383906899
765 0.00540710731869896 3 112 "GO:0001707;GO:0048332" "mesoderm morphogenesis" 0.0748159881940242
402 0.0815643822700955 2 160 "GO:0001708" "cell fate specification" 0.347661336776763
340 0.109032086905773 2 190 "GO:0001709" "cell fate determination" 0.394787030571042
440 0.356130690255172 2 37 "GO:0001711" "endodermal cell fate commitment" 0.672350182464506
481 0.565271809252423 2 12 "GO:0001714" "endodermal cell fate specification" 0.814807367354094
-1384 0.0848386275687359 3 13 "GO:0001731" "formation of translation preinitiation complex" 0.352855352776059
1212 0.0552000682297046 4 21 "GO:0001737" "establishment of imaginal disc-derived wing hair orientation" 0.281255587914264
747 0.00384368571189185 2 127 "GO:0001738;GO:0001736;GO:0007164" "morphogenesis of a polarized epithelium" 0.0611810725719928
587 0.591531870802735 3 7 "GO:0001743" "lens placode formation" 0.828222864080284
489 0.00397858777924142 2 300 "GO:0001745;GO:0048749" "compound eye development" 0.0625774078205997
1425 0.102546878671232 6 11 "GO:0001746;GO:0055034" "Bolwig's organ development" 0.383404836756438
306 0.227177427079219 2 132 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.564477245453881
357 0.43623197969912 5 40 "GO:0001752;GO:0042706;GO:0046552" "photoreceptor cell fate commitment" 0.733059030265501
276 0.159292459316286 2 223 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 0.47661538556062
558 0.110391509268558 6 69 "GO:0001755;GO:0090497" "mesenchymal cell migration" 0.396324417442007
95 0.92129064781035 2 9 "GO:0001757" "somite specification" 0.973077815440468
523 0.266029743901522 3 38 "GO:0001759;GO:0003347;GO:1904847;GO:2000544" "organ induction" 0.602122203677322
261 0.138193663737209 2 277 "GO:0001763;GO:0061138" "morphogenesis of a branching structure" 0.444506542737257
965 2.73136007441286e-05 4 161 "GO:0001764" "neuron migration" 0.00211547168690196
-2838 0.00557014183147357 2 8 "GO:0001765" "membrane raft assembly" 0.076030560651701
-821 0.394887908421733 3 9 "GO:0001771" "immunological synapse formation" 0.705044231942219
-476 0.486111637031247 2 18 "GO:0001773;GO:0043011;GO:0097028" "dendritic cell differentiation" 0.763773545694986
1627 0.0624334912363973 3 11 "GO:0001774;GO:0002269;GO:1903980;GO:0150078" "positive regulation of microglial cell activation" 0.301268096387125
-67 0.548821016289441 2 734 "GO:0001775;GO:0045321" "cell activation" 0.803845314640551
-689 0.0901094920390879 2 51 "GO:0001776;GO:0002260" "leukocyte homeostasis" 0.359024707616215
-1544 0.191365115839319 4 6 "GO:0001779" "natural killer cell differentiation" 0.525674675906365
49 0.934181756904054 2 24 "GO:0001782" "B cell homeostasis" 0.975525910963147
-2405 0.0188130273990335 7 8 "GO:0001783" "B cell apoptotic process" 0.15266571515186
2038 0.0260263455142322 8 10 "GO:0001796;GO:0002892;GO:0001798;GO:0002894;GO:0001969;GO:0001970;GO:0045917;GO:0006956;GO:0006957;GO:0006958;GO:0010760;GO:1905522;GO:2000259" "negative regulation of macrophage chemotaxis" 0.185846055243306
528 0.06314357345519 2 105 "GO:0001816" "cytokine production" 0.303775636337369
120 0.429744289532642 5 379 "GO:0001817" "regulation of cytokine production" 0.728054834437937
473 0.0497577939794298 2 146 "GO:0001818" "negative regulation of cytokine production" 0.26395199500366
-159 0.403571502794944 2 238 "GO:0001819" "positive regulation of cytokine production" 0.712505205871534
-800 0.434302947731631 2 8 "GO:0001820;GO:0006837" "serotonin transport" 0.731969036278948
-886 0.493668337626549 5 5 "GO:0001821" "histamine secretion" 0.766012121247548
574 0.000212476924340632 2 362 "GO:0001822;GO:0072001" "renal system development" 0.00924274620881749
-810 0.0132360085585436 3 79 "GO:0001824" "blastocyst development" 0.124504493327818
-408 0.412076296187162 2 34 "GO:0001825" "blastocyst formation" 0.718390490553024
450 0.660362796549427 3 8 "GO:0001826" "inner cell mass cell differentiation" 0.870003075326379
-418 0.540769836700775 3 18 "GO:0001829" "trophectodermal cell differentiation" 0.798333155017811
1031 0.383234873007002 4 6 "GO:0001831;GO:1901044" "trophectodermal cellular morphogenesis" 0.694216964765394
-988 0.0820689069323272 2 26 "GO:0001832" "blastocyst growth" 0.348583293170171
-638 0.337157320437901 2 19 "GO:0001833" "inner cell mass cell proliferation" 0.656634818184946
-2370 0.0449312191750177 4 6 "GO:0001835;GO:0035188" "blastocyst hatching" 0.249221111773395
1 0.998516970779018 2 16 "GO:0001836" "release of cytochrome c from mitochondria" 0.999274323345427
876 0.00367191925162304 2 93 "GO:0001837" "epithelial to mesenchymal transition" 0.0598382110616445
660 0.00365824936226876 2 165 "GO:0001838;GO:0001841" "embryonic epithelial tube formation" 0.0598382110616445
1049 0.229516559542297 2 11 "GO:0001839" "neural plate morphogenesis" 0.566594243341395
1932 0.00764381143979239 3 16 "GO:0001840" "neural plate development" 0.0922924837530826
1750 0.0697698329687955 2 9 "GO:0001842" "neural fold formation" 0.319012389621901
815 0.00318441912881351 4 111 "GO:0001843;GO:0060606;GO:0014020" "primary neural tube formation" 0.0546601240191746
74 0.908472339776115 3 20 "GO:0001845" "phagolysosome assembly" 0.968884606199514
548 0.386398294583066 2 21 "GO:0001878" "response to yeast" 0.697559854717752
