"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1054 0.00253577541602672 3 76 "GO:0001570" "vasculogenesis" 0.0288001253887495
2780 1.4091803191687e-20 3 104 "GO:0001578;GO:0035082" "microtubule bundle formation" 4.52135505405277e-17
-497 0.191485857833629 3 64 "GO:0001649" "osteoblast differentiation" 0.449932167601024
-22 0.838478675390262 3 863 "GO:0001654;GO:0007423" "sensory organ development" 0.928813889192511
-369 0.00985606663799 2 471 "GO:0001655" "urogenital system development" 0.0714709917810748
-1026 0.00744975600205137 5 63 "GO:0001656" "metanephros development" 0.0604335474682903
-1375 8.7909768069451e-06 5 97 "GO:0001657;GO:0072164;GO:0072163;GO:0001823" "mesonephric tubule development" 0.000408780421522947
-1557 0.000588989817992131 2 45 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.0101750596300886
-884 0.171909790495447 2 22 "GO:0001659" "temperature homeostasis" 0.424286586772801
443 0.679955248907532 2 8 "GO:0001661" "conditioned taste aversion" 0.850706342803594
425 0.407963155889988 3 35 "GO:0001662;GO:0002209;GO:0042596" "fear response" 0.666810894382591
-221 0.180653566196043 2 350 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.434633281361784
-461 0.00218018530233933 4 424 "GO:0001667" "ameboidal-type cell migration" 0.025670181807544
385 0.673588688273148 4 11 "GO:0001675" "acrosome assembly" 0.846583844891851
-1248 1.93746664200918e-05 3 109 "GO:0001676" "long-chain fatty acid metabolic process" 0.000735664108980645
-164 0.613368595911137 2 88 "GO:0001678;GO:0071326;GO:0071331;GO:0071333" "intracellular glucose homeostasis" 0.811588257364296
1533 0.0504048551738291 2 15 "GO:0001682;GO:0099116" "tRNA 5'-end processing" 0.206534149781306
1483 0.195975924061341 5 7 "GO:0001696" "gastric acid secretion" 0.456305335523086
156 0.908297219606245 6 5 "GO:0001697;GO:0001698;GO:1900139" "gastrin-induced gastric acid secretion" 0.963236367247277
-193 0.39387830678626 2 182 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.654966855311591
359 0.0274290416005181 2 359 "GO:0001701" "in utero embryonic development" 0.14080972796042
-436 0.347059329132023 5 43 "GO:0001702" "gastrulation with mouth forming second" 0.61403931530618
-355 0.361497860478263 5 61 "GO:0001703;GO:0010004" "gastrulation with mouth forming first" 0.625770642214463
-680 0.006267518136866 2 151 "GO:0001704" "formation of primary germ layer" 0.0545928726345515
-787 0.525314768214421 4 6 "GO:0001705" "ectoderm formation" 0.753620582971594
-1035 0.00572758833724558 2 66 "GO:0001706;GO:0035987" "endoderm formation" 0.0514760985435643
-783 0.00634838386635763 3 113 "GO:0001707;GO:0048332" "mesoderm morphogenesis" 0.0549910172809827
-362 0.130131569002683 2 163 "GO:0001708" "cell fate specification" 0.365847553174837
-198 0.361780695837899 2 198 "GO:0001709" "cell fate determination" 0.626091349835976
-689 0.167695070321963 2 37 "GO:0001711" "endodermal cell fate commitment" 0.419041770348924
669 0.445087498236835 2 12 "GO:0001714" "endodermal cell fate specification" 0.693491296455986
346 0.680986240232705 3 13 "GO:0001731" "formation of translation preinitiation complex" 0.850837066362374
-158 0.802343324200538 4 23 "GO:0001737" "establishment of imaginal disc-derived wing hair orientation" 0.909637042363724
-197 0.447969611542145 2 138 "GO:0001738;GO:0001736;GO:0007164" "morphogenesis of a polarized epithelium" 0.696708918387287
-1029 0.337275021231999 3 8 "GO:0001743" "lens placode formation" 0.604583091351035
161 0.354607090535197 2 315 "GO:0001745;GO:0048749" "compound eye development" 0.618159842874285
-1531 0.0941950515488095 6 11 "GO:0001746;GO:0055034" "Bolwig's organ development" 0.303067830875968
-251 0.328000502990192 2 142 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.597269928401834
119 0.799223803764892 5 42 "GO:0001752;GO:0042706;GO:0046552" "photoreceptor cell fate commitment" 0.908438655328205
-80 0.686664796077966 2 241 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 0.853774074100428
-1395 4.62014457729902e-05 6 79 "GO:0001755;GO:0090497" "mesenchymal cell migration" 0.00141853912691521
-1146 0.257243457112986 2 9 "GO:0001757" "somite specification" 0.52420808647
-2435 7.83116497699395e-07 3 38 "GO:0001759;GO:0003347;GO:1904847;GO:2000544" "organ induction" 5.52226216015057e-05
-489 0.00673765092970944 2 290 "GO:0001763;GO:0061138" "morphogenesis of a branching structure" 0.0570389261424083
-161 0.493195761672843 4 170 "GO:0001764" "neuron migration" 0.730213586179579
-910 0.368207907874207 2 9 "GO:0001765" "membrane raft assembly" 0.632100092249542
-613 0.544629288638904 3 9 "GO:0001771" "immunological synapse formation" 0.768613623311161
-807 0.378022957638367 2 11 "GO:0001774;GO:0002269;GO:0061900" "glial cell activation" 0.641908790464515
-630 1.89954786044398e-08 2 793 "GO:0001775;GO:0045321" "cell activation" 2.2572960408276e-06
1072 0.0109785630908602 2 52 "GO:0001776;GO:0002260" "leukocyte homeostasis" 0.0763265865157637
-27 0.981401813259897 4 7 "GO:0001779" "natural killer cell differentiation" 0.9922702616008
1640 0.00816282316254941 2 24 "GO:0001782" "B cell homeostasis" 0.0638012621608764
