"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-500 0.230294765372307 2 56 "GO:0001541" "ovarian follicle development" 0.62622167106996
-472 0.631789501564002 2 10 "GO:0001542" "ovulation from ovarian follicle" 0.870164898085581
-452 0.700739836807019 2 7 "GO:0001547" "antral ovarian follicle growth" 0.895165567098857
822 0.484887451214063 2 7 "GO:0001553" "luteinization" 0.804850602892607
839 0.475817077438009 3 7 "GO:0001554" "luteolysis" 0.80154201806946
-2151 0.0381917229504957 2 9 "GO:0001555" "oocyte growth" 0.31846046244094
-833 0.0541391778303012 3 52 "GO:0001556" "oocyte maturation" 0.361227377390557
217 0.161242771832949 4 419 "GO:0001558" "regulation of cell growth" 0.538428826630885
1232 0.23500965467225 2 9 "GO:0001561" "fatty acid alpha-oxidation" 0.627402521794057
-85 0.918559741060456 2 14 "GO:0001562;GO:0042832" "response to protozoan" 0.979569534805596
-256 0.08807696498461 2 449 "GO:0001568;GO:0001944;GO:0048514" "vasculature development" 0.4355057481758
-223 0.685801341056681 2 32 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.891426292423099
-761 0.0302136440965349 3 79 "GO:0001570" "vasculogenesis" 0.295416020882031
1470 1.03663476255206e-06 3 108 "GO:0001578;GO:0035082" "microtubule bundle formation" 0.000416727174545928
1 0.997845052885359 3 63 "GO:0001649" "osteoblast differentiation" 0.998380966976083
-43 0.690945747180322 3 900 "GO:0001654;GO:0007423" "sensory organ development" 0.893210088924319
-433 0.00259544987320615 2 491 "GO:0001655" "urogenital system development" 0.099368652288464
-700 0.0751809365593977 5 63 "GO:0001656" "metanephros development" 0.411237467975196
-738 0.0193535113531527 5 98 "GO:0001657;GO:0072164;GO:0072163;GO:0001823" "mesonephric tubule development" 0.243209956577648
-972 0.0344749222245928 2 46 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.307039958315379
-892 0.179330217321226 2 22 "GO:0001659" "temperature homeostasis" 0.565417626377513
1298 0.238108731265607 2 8 "GO:0001661" "conditioned taste aversion" 0.63011056672752
-205 0.693068999595322 3 36 "GO:0001662;GO:0002209;GO:0042596" "fear response" 0.893229033181684
14 0.933506704699473 2 353 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.984818339450249
-196 0.198692799369309 4 435 "GO:0001667" "ameboidal-type cell migration" 0.588936444950873
41 0.965467829349682 4 11 "GO:0001675" "acrosome assembly" 0.991535073146471
-545 0.0651625491159219 3 112 "GO:0001676" "long-chain fatty acid metabolic process" 0.392439621641957
-442 0.179953977338646 2 90 "GO:0001678;GO:0071326;GO:0071331;GO:0071333" "intracellular glucose homeostasis" 0.566312753054662
566 0.481252852468218 2 15 "GO:0001682;GO:0099116" "tRNA 5'-end processing" 0.802942039570197
133 0.892537633999429 5 10 "GO:0001696;GO:0001697;GO:0001698;GO:0032304;GO:1900139" "gastric acid secretion" 0.972028794765379
-273 0.229486881532696 2 191 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.62622167106996
-252 0.125600239888414 2 370 "GO:0001701" "in utero embryonic development" 0.487499099773296
995 0.0362725950116617 5 43 "GO:0001702" "gastrulation with mouth forming second" 0.314781984446997
78 0.840573793652065 5 65 "GO:0001703;GO:0010004" "gastrulation with mouth forming first" 0.955225392757574
-409 0.105706513897068 2 154 "GO:0001704" "formation of primary germ layer" 0.461577934410008
-917 0.470715583160595 4 6 "GO:0001705" "ectoderm formation" 0.798989667067707
-929 0.0148832550919005 2 67 "GO:0001706;GO:0035987" "endoderm formation" 0.221083364321256
-334 0.249445709162079 3 116 "GO:0001707;GO:0048332" "mesoderm morphogenesis" 0.640237350890061
-520 0.0304817636697442 2 170 "GO:0001708" "cell fate specification" 0.295416020882031
-320 0.144279744231452 2 206 "GO:0001709" "cell fate determination" 0.516160136588056
-651 0.203793195146774 2 37 "GO:0001711" "endodermal cell fate commitment" 0.59581719599275
714 0.426874976336749 2 12 "GO:0001714" "endodermal cell fate specification" 0.769239327507763
1196 0.166038057697205 3 13 "GO:0001731" "formation of translation preinitiation complex" 0.546197607443651
756 0.244308123700952 4 23 "GO:0001737" "establishment of imaginal disc-derived wing hair orientation" 0.634758683965793
