	SRR14729874.clean.fastq.gz.sam.counts	SRR14729875.clean.fastq.gz.sam.counts	SRR14729876.clean.fastq.gz.sam.counts	SRR14729877.clean.fastq.gz.sam.counts	SRR14729879.clean.fastq.gz.sam.counts	SRR14729880.clean.fastq.gz.sam.counts	SRR14729882.clean.fastq.gz.sam.counts	SRR14729883.clean.fastq.gz.sam.counts	SRR14729884.clean.fastq.gz.sam.counts	SRR14729885.clean.fastq.gz.sam.counts	SRR14729886.clean.fastq.gz.sam.counts	SRR14729887.clean.fastq.gz.sam.counts	SRR14729888.clean.fastq.gz.sam.counts	SRR14729891.clean.fastq.gz.sam.counts	SRR14729892.clean.fastq.gz.sam.counts	
Porites_compressa_HIv1___RNAseq.16732_t	15	12	44	32	68	39	22	18	91	29	31	26	20	23	13	
Porites_compressa_HIv1___RNAseq.16752_t	30	8	28	22	35	38	47	31	29	20	24	13	28	20	22	
Porites_compressa_HIv1___RNAseq.16822_t	288	131	73	167	226	282	273	80	34	164	302	172	242	109	135	
Porites_compressa_HIv1___RNAseq.16844_t	10	1	6	6	7	16	10	3	5	8	8	6	5	0	7	
Porites_compressa_HIv1___RNAseq.16845_t	323	130	286	521	323	712	433	180	462	203	353	326	148	230	312	
Porites_compressa_HIv1___RNAseq.16920_t	16	3	12	25	5	6	19	2	1	7	12	20	2	15	17	
Porites_compressa_HIv1___RNAseq.16976_t	207	54	98	431	276	477	263	27	99	89	410	162	117	273	55	
Porites_compressa_HIv1___RNAseq.16_t	26	7	26	74	26	75	29	46	38	24	58	34	26	56	27	
Porites_compressa_HIv1___RNAseq.17189_t	4	1	1	7	7	3	3	1	3	3	5	0	4	5	2	
Porites_compressa_HIv1___RNAseq.17195_t	1	0	0	0	2	0	0	3	2	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.17205_t	7	2	0	1	3	1	0	1	1	1	1	1	0	0	0	
Porites_compressa_HIv1___RNAseq.1720_t	0	0	0	0	1	0	2	0	1	0	2	0	2	0	3	
Porites_compressa_HIv1___RNAseq.17273_t	15	1	8	20	19	9	10	6	0	6	1	13	7	37	13	
Porites_compressa_HIv1___RNAseq.172_t	138	59	139	128	121	167	163	90	159	153	121	65	80	69	105	
Porites_compressa_HIv1___RNAseq.17335_t	378	140	378	449	390	363	281	285	432	291	444	271	243	176	277	
Porites_compressa_HIv1___RNAseq.17360_t	12	1	12	12	10	32	1	15	2	8	1	21	1	1	0	
Porites_compressa_HIv1___RNAseq.17461_t	88	25	18	44	121	256	20	127	19	15	23	15	98	43	86	
Porites_compressa_HIv1___RNAseq.17553_t	391	51	344	183	349	70	118	61	245	195	198	84	97	247	171	
Porites_compressa_HIv1___RNAseq.17625_t	28	29	50	120	46	41	41	23	98	22	71	33	57	17	121	
Porites_compressa_HIv1___RNAseq.17674_t	183	22	158	504	100	436	25	83	109	29	46	5	77	24	156	
Porites_compressa_HIv1___RNAseq.17700_t	59	16	31	34	28	29	10	15	20	9	35	21	29	24	44	
Porites_compressa_HIv1___RNAseq.17720_t	49	12	14	97	33	105	9	14	62	39	44	96	22	23	44	
Porites_compressa_HIv1___RNAseq.17753_t	541	218	458	602	672	740	535	414	650	430	576	474	501	211	480	
Porites_compressa_HIv1___RNAseq.17905_t	19	9	10	9	10	17	7	4	6	6	4	7	4	9	12	
Porites_compressa_HIv1___RNAseq.17916_t	4	0	0	2	1	4	1	0	3	4	7	2	3	1	4	
Porites_compressa_HIv1___RNAseq.17926_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Porites_compressa_HIv1___RNAseq.17_t	755	258	708	1282	665	908	775	360	726	437	710	545	558	687	745	
Porites_compressa_HIv1___RNAseq.18055_t	33	10	30	18	10	30	28	21	35	7	36	20	27	11	29	
Porites_compressa_HIv1___RNAseq.18073_t	223	160	212	360	215	270	373	174	430	402	171	158	296	174	137	
Porites_compressa_HIv1___RNAseq.1834_t	0	0	1	9	1	4	1	1	0	1	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.1839_t	0	0	0	2	1	0	0	0	0	2	8	0	0	0	0	
Porites_compressa_HIv1___RNAseq.18693_t	55	36	221	93	147	199	229	51	115	90	87	198	68	84	90	
Porites_compressa_HIv1___RNAseq.1874_t	99	22	65	92	73	244	85	76	124	57	105	109	90	62	136	
Porites_compressa_HIv1___RNAseq.18988_t	806	150	537	1502	871	1128	487	295	291	300	621	895	310	698	680	
Porites_compressa_HIv1___RNAseq.19009_t	6	0	8	55	8	26	0	5	0	0	8	0	8	1	7	
Porites_compressa_HIv1___RNAseq.19012_t	423	173	380	407	712	644	498	360	787	509	444	460	381	117	354	
Porites_compressa_HIv1___RNAseq.19062_t	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	
Porites_compressa_HIv1___RNAseq.1906_t	212	79	86	188	72	210	154	136	235	151	103	113	71	78	102	
Porites_compressa_HIv1___RNAseq.19428_t	97	16	63	7	91	36	36	38	27	52	19	27	29	108	20	
Porites_compressa_HIv1___RNAseq.19489_t	5	1	0	10	2	3	30	17	5	4	15	28	16	13	3	
Porites_compressa_HIv1___RNAseq.19497_t	132	52	106	162	87	278	229	77	135	80	167	101	86	83	301	
Porites_compressa_HIv1___RNAseq.1954_t	0	0	2	2	0	43	0	0	0	1	2	0	0	18	5	
Porites_compressa_HIv1___RNAseq.19558_t	42	14	26	31	25	68	90	13	30	15	47	22	25	10	41	
Porites_compressa_HIv1___RNAseq.19588_t	4	4	9	4	10	8	12	13	15	10	14	7	5	5	4	
Porites_compressa_HIv1___RNAseq.19752_t	255	93	277	349	236	288	548	149	299	189	219	162	140	250	185	
Porites_compressa_HIv1___RNAseq.19773_t	10	1	4	2	7	3	3	0	6	3	9	2	9	5	8	
Porites_compressa_HIv1___RNAseq.19793_t	19	0	34	122	4	49	32	6	5	19	14	15	2	59	22	
Porites_compressa_HIv1___RNAseq.20057_t	157	140	290	135	150	16	42	116	128	181	59	56	45	11	215	
Porites_compressa_HIv1___RNAseq.2014_t	13	0	7	8	6	7	4	1	5	6	2	5	4	3	5	
Porites_compressa_HIv1___RNAseq.2025_t	345	85	217	238	158	241	350	92	191	183	184	140	141	123	162	
Porites_compressa_HIv1___RNAseq.20305_t	284	81	440	3277	300	391	452	229	313	278	381	249	232	3545	155	
Porites_compressa_HIv1___RNAseq.20347_t	140	50	127	195	119	196	131	121	177	100	196	114	185	76	186	
Porites_compressa_HIv1___RNAseq.20441_t	354	176	240	198	349	503	325	187	379	399	201	367	140	120	260	
Porites_compressa_HIv1___RNAseq.2045_t	1	0	0	9	2	5	0	2	3	1	1	4	0	1	12	
Porites_compressa_HIv1___RNAseq.20525_t	124	34	64	51	2	115	106	68	91	34	135	93	13	22	92	
Porites_compressa_HIv1___RNAseq.20546_t	0	0	0	1	0	11	0	0	0	0	0	1	0	0	0	
Porites_compressa_HIv1___RNAseq.20578_t	252	66	163	615	295	379	284	122	208	113	372	227	106	161	243	
Porites_compressa_HIv1___RNAseq.2061_t	284	59	96	102	109	156	127	85	144	239	207	144	92	74	154	
Porites_compressa_HIv1___RNAseq.20629_t	4	5	2	2	1	1	0	2	9	6	0	2	7	1	10	
Porites_compressa_HIv1___RNAseq.20643_t	131	25	144	196	107	138	149	56	106	44	141	100	70	109	70	
Porites_compressa_HIv1___RNAseq.20647_t	664	219	377	283	448	381	398	233	506	379	416	286	407	212	287	
Porites_compressa_HIv1___RNAseq.2077_t	3	0	1	1	4	2	0	2	0	3	0	0	3	3	13	
Porites_compressa_HIv1___RNAseq.20802_t	61	15	51	41	31	48	40	12	36	41	34	27	33	18	47	
Porites_compressa_HIv1___RNAseq.20866_t	128	89	163	317	75	204	289	90	97	86	85	183	112	161	32	
Porites_compressa_HIv1___RNAseq.20873_t	447	264	331	782	478	811	476	252	408	307	400	250	321	385	292	
Porites_compressa_HIv1___RNAseq.20885_t	609	114	638	1244	450	1326	674	436	424	279	545	480	303	586	999	
Porites_compressa_HIv1___RNAseq.20901_t	10	0	30	8	16	4	14	7	15	13	6	4	4	2	2	
Porites_compressa_HIv1___RNAseq.20915_t	1048	363	919	951	945	1206	969	688	739	785	967	699	725	790	754	
Porites_compressa_HIv1___RNAseq.20962_t	165	79	128	98	108	116	258	83	196	125	143	82	71	47	116	
Porites_compressa_HIv1___RNAseq.20966_t	371	98	317	575	375	455	578	200	419	235	501	249	470	324	325	
Porites_compressa_HIv1___RNAseq.21004_t	39	50	3	65	100	11	92	5	28	47	14	30	2	57	70	
Porites_compressa_HIv1___RNAseq.21007_t	329	109	97	63	126	138	208	55	238	187	132	77	162	87	58	
Porites_compressa_HIv1___RNAseq.21154_t	14	2	10	5	2	7	2	2	6	3	7	4	4	11	13	
Porites_compressa_HIv1___RNAseq.21194_t	1165	272	1054	2185	942	1461	1265	781	1362	904	1209	910	764	1072	780	
Porites_compressa_HIv1___RNAseq.21227_t	498	171	225	67	630	611	226	277	674	409	419	378	337	82	158	
Porites_compressa_HIv1___RNAseq.21264_t	6	3	4	4	4	18	4	0	3	6	3	1	3	1	9	
Porites_compressa_HIv1___RNAseq.21484_t	4	9	152	163	206	84	42	65	114	162	56	44	113	17	25	
Porites_compressa_HIv1___RNAseq.21502_t	12	10	6	25	14	26	3	17	17	11	8	17	7	0	13	
Porites_compressa_HIv1___RNAseq.21694_t	139	221	310	350	504	409	427	87	468	638	219	350	230	173	344	
Porites_compressa_HIv1___RNAseq.21696_t	2	0	9	12	3	7	0	0	6	0	2	7	1	5	7	
Porites_compressa_HIv1___RNAseq.21744_t	0	0	0	2	0	1	2	0	1	1	0	2	4	0	1	
Porites_compressa_HIv1___RNAseq.21823_t	132	74	110	119	140	138	149	66	154	119	171	89	147	70	106	
Porites_compressa_HIv1___RNAseq.21941_t	255	92	247	330	270	296	316	188	292	223	302	272	259	162	232	
Porites_compressa_HIv1___RNAseq.21975_t	435	148	436	569	426	711	568	268	540	351	600	409	351	391	453	
Porites_compressa_HIv1___RNAseq.22100_t	13	12	22	16	24	34	22	11	20	13	20	10	24	10	20	
