	SRR14729874.clean.fastq.gz.sam.counts	SRR14729875.clean.fastq.gz.sam.counts	SRR14729876.clean.fastq.gz.sam.counts	SRR14729877.clean.fastq.gz.sam.counts	SRR14729879.clean.fastq.gz.sam.counts	SRR14729880.clean.fastq.gz.sam.counts	SRR14729882.clean.fastq.gz.sam.counts	SRR14729883.clean.fastq.gz.sam.counts	SRR14729884.clean.fastq.gz.sam.counts	SRR14729885.clean.fastq.gz.sam.counts	SRR14729886.clean.fastq.gz.sam.counts	SRR14729887.clean.fastq.gz.sam.counts	SRR14729888.clean.fastq.gz.sam.counts	SRR14729891.clean.fastq.gz.sam.counts	SRR14729892.clean.fastq.gz.sam.counts	
Porites_compressa_HIv1___RNAseq.g25611.t1	434	69	230	249	189	476	722	195	242	129	218	227	184	151	239	
Porites_compressa_HIv1___RNAseq.g25613.t1	1	0	0	14	0	10	1	0	0	1	215	1	0	0	1	
Porites_compressa_HIv1___RNAseq.g25614.t1	3	0	0	9	1	7	0	0	1	3	173	1	1	0	0	
Porites_compressa_HIv1___RNAseq.g25615.t1	24	0	12	21	0	0	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g25616.t1	3286	0	1572	896	26	6	21	1	33	8	0	1	29	25	1	
Porites_compressa_HIv1___RNAseq.g25617.t1	11	0	11	292	0	0	0	0	0	0	0	1	0	0	0	
Porites_compressa_HIv1___RNAseq.g25618.t1	11	1	2	12	4	9	7	5	7	1	5	4	4	1	9	
Porites_compressa_HIv1___RNAseq.g2562.t1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g25620.t2	55	27	42	95	36	42	49	16	26	21	55	40	36	32	35	
Porites_compressa_HIv1___RNAseq.g25621.t1	169	64	91	220	67	86	146	96	117	132	156	129	80	30	24	
Porites_compressa_HIv1___RNAseq.g25622.t1	140	43	106	109	94	105	110	49	130	68	99	72	87	66	106	
Porites_compressa_HIv1___RNAseq.g25623.t1	7	0	0	0	2	2	0	0	1	0	2	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g25624.t1	4	2	1	5	5	0	2	1	0	1	4	1	0	0	0	
Porites_compressa_HIv1___RNAseq.g25625.t1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	
Porites_compressa_HIv1___RNAseq.g25626.t1	0	1	0	5	2	1	0	0	0	0	0	2	0	0	3	
Porites_compressa_HIv1___RNAseq.g25628.t1	1	0	0	2	1	3	0	2	0	1	0	1	3	2	2	
Porites_compressa_HIv1___RNAseq.g25629.t1	853	274	877	1596	780	1682	945	540	1345	502	1116	923	497	1028	793	
Porites_compressa_HIv1___RNAseq.g2563.t1	1	3	0	0	0	17	4	1	1	1	0	0	0	4	0	
Porites_compressa_HIv1___RNAseq.g25630.t1	723	519	713	1191	1190	1316	1033	403	907	981	1046	740	749	630	672	
Porites_compressa_HIv1___RNAseq.g25631.t1	610	175	414	1076	434	570	831	332	485	445	513	341	583	462	327	
Porites_compressa_HIv1___RNAseq.g25632.t1	87	32	59	33	82	57	66	35	73	48	48	61	32	23	57	
Porites_compressa_HIv1___RNAseq.g25633.t1	842	314	851	1169	833	1199	1002	508	1151	638	1081	902	602	649	722	
Porites_compressa_HIv1___RNAseq.g25634.t1a	543	174	387	496	492	564	357	262	570	284	516	349	378	353	395	
Porites_compressa_HIv1___RNAseq.g25634.t1b	0	1	5	10	0	23	6	10	4	3	26	4	3	3	2	
Porites_compressa_HIv1___RNAseq.g25635.t1	23	7	23	26	19	21	26	19	15	6	37	22	17	20	34	
Porites_compressa_HIv1___RNAseq.g25636.t1	1577	678	1332	644	1206	1565	1470	819	1882	1519	912	817	1006	964	1489	
Porites_compressa_HIv1___RNAseq.g25637.t1	494	136	321	308	320	414	449	211	457	248	289	232	182	184	251	
Porites_compressa_HIv1___RNAseq.g25638.t1	945	246	552	555	773	1209	724	406	748	449	582	467	697	598	835	
Porites_compressa_HIv1___RNAseq.g25639.t2	450	53	305	282	442	642	352	163	307	238	223	194	222	292	439	
Porites_compressa_HIv1___RNAseq.g2564.t1	76	33	48	63	74	249	67	41	128	50	112	56	35	80	59	
Porites_compressa_HIv1___RNAseq.g25640.t1	2	0	1	0	2	3	332	0	7	1	1	1	0	0	0	
Porites_compressa_HIv1___RNAseq.g25641.t1	121	33	108	153	138	186	142	70	83	71	176	82	98	73	198	
Porites_compressa_HIv1___RNAseq.g25642.t1	335	132	251	493	243	444	434	229	394	190	445	313	317	227	253	
Porites_compressa_HIv1___RNAseq.g25643.t1	41	15	46	70	29	44	112	20	42	23	55	47	26	32	58	
Porites_compressa_HIv1___RNAseq.g25644.t1	17	0	15	15	12	24	3	13	8	9	18	3	4	14	19	
Porites_compressa_HIv1___RNAseq.g25645.t1	354	88	308	410	238	593	586	207	317	171	316	293	262	230	443	
Porites_compressa_HIv1___RNAseq.g25646.t1	48	12	19	52	73	69	15	25	47	52	14	19	35	20	31	
Porites_compressa_HIv1___RNAseq.g25647.t1	65	43	167	225	75	182	122	72	235	140	143	133	118	50	350	
Porites_compressa_HIv1___RNAseq.g25648.t1	98	7	25	28	27	21	66	51	20	13	81	18	4	10	21	
Porites_compressa_HIv1___RNAseq.g2565.t1	0	0	10	27	1	0	28	0	0	0	0	23	24	0	1	
Porites_compressa_HIv1___RNAseq.g25650.t1	1030	448	688	792	955	922	1009	409	742	631	779	495	787	601	597	
Porites_compressa_HIv1___RNAseq.g25652.t1	401	146	414	320	357	550	496	225	488	334	374	328	467	244	359	
Porites_compressa_HIv1___RNAseq.g25653.t1	16	5	12	20	0	17	53	7	65	14	9	30	22	3	58	
Porites_compressa_HIv1___RNAseq.g25654.t1	198	41	125	45	78	65	120	21	203	39	107	116	115	32	72	
Porites_compressa_HIv1___RNAseq.g25655.t1	113	32	83	54	61	38	81	55	155	37	94	51	76	8	52	
Porites_compressa_HIv1___RNAseq.g25656.t1	48	27	19	116	16	19	27	18	83	35	29	13	67	20	78	
Porites_compressa_HIv1___RNAseq.g25657.t1	159	50	78	22	186	191	62	61	218	113	69	113	137	21	33	
Porites_compressa_HIv1___RNAseq.g25658.t1	131	79	135	343	116	355	189	104	330	158	148	171	136	65	182	
Porites_compressa_HIv1___RNAseq.g25659.t1	3	1	2	1	4	2	1	1	3	3	1	0	2	0	5	
Porites_compressa_HIv1___RNAseq.g2566.t1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	
Porites_compressa_HIv1___RNAseq.g25660.t1	0	0	1	2	1	2	0	0	0	0	0	0	5	0	1	
Porites_compressa_HIv1___RNAseq.g25661.t1	8	2	2	6	6	3	2	5	4	1	5	2	7	5	2	
Porites_compressa_HIv1___RNAseq.g25662.t1	2	0	6	12	3	8	5	1	8	1	10	5	11	1	12	
Porites_compressa_HIv1___RNAseq.g25664.t1	2	0	1	4	1	0	0	4	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g25665.t1	20	9	37	17	24	12	62	10	7	9	42	20	15	24	36	
Porites_compressa_HIv1___RNAseq.g25666.t1	875	470	847	1648	1009	1626	968	676	1425	685	1327	780	844	878	1659	
Porites_compressa_HIv1___RNAseq.g25667.t1	264	72	206	312	201	269	428	102	268	178	229	166	144	249	190	
Porites_compressa_HIv1___RNAseq.g25668.t1	21	5	18	14	9	32	8	7	21	11	33	20	10	9	20	
Porites_compressa_HIv1___RNAseq.g25669.t1	0	0	1	21	1	0	1	2	2	2	0	1	1	0	0	
Porites_compressa_HIv1___RNAseq.g2567.t1	0	8	5	14	12	20	9	10	1	10	1	4	0	12	3	
Porites_compressa_HIv1___RNAseq.g25671.t1	71	8	34	45	37	63	44	17	44	21	25	21	41	23	33	
Porites_compressa_HIv1___RNAseq.g25672.t1	195	45	119	405	160	301	242	80	179	107	143	98	107	212	232	
Porites_compressa_HIv1___RNAseq.g25673.t1a	153	41	133	254	118	188	188	95	177	72	125	102	119	97	167	
Porites_compressa_HIv1___RNAseq.g25673.t1b	167	71	128	435	150	188	95	97	223	128	174	30	166	179	193	
Porites_compressa_HIv1___RNAseq.g25674.t1	472	231	458	496	348	358	519	258	630	378	512	323	335	343	238	
Porites_compressa_HIv1___RNAseq.g25677.t1	413	124	268	409	365	365	317	162	296	243	331	282	344	255	260	
Porites_compressa_HIv1___RNAseq.g25678.t1	51	13	40	57	61	25	0	25	41	17	60	0	52	21	37	
Porites_compressa_HIv1___RNAseq.g25679.t1	1346	465	918	856	1245	917	990	475	966	1224	973	664	905	669	621	
Porites_compressa_HIv1___RNAseq.g2568.t1	12	7	9	20	29	41	12	15	33	22	34	13	15	43	20	
Porites_compressa_HIv1___RNAseq.g25681.t1	441	126	520	734	288	534	557	196	463	264	382	297	293	560	442	
Porites_compressa_HIv1___RNAseq.g25682.t1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g25684.t1	12	0	4	1	4	3	11	3	21	1	4	7	7	0	2	
Porites_compressa_HIv1___RNAseq.g25685.t2	245	68	211	348	209	302	296	103	166	189	240	235	219	196	200	
Porites_compressa_HIv1___RNAseq.g25686.t1	80	29	100	223	89	144	129	41	99	82	110	72	48	120	65	
Porites_compressa_HIv1___RNAseq.g25687.t1	182	56	178	555	202	301	324	133	194	179	269	211	122	361	142	
Porites_compressa_HIv1___RNAseq.g2569.t1	0	4	4	1	3	18	1	5	1	8	3	4	2	9	0	
Porites_compressa_HIv1___RNAseq.g25691.t1a	104	20	90	97	78	51	87	47	55	52	79	35	102	136	43	
Porites_compressa_HIv1___RNAseq.g25691.t1b	19	7	14	8	5	11	21	5	24	18	6	8	11	6	18	
Porites_compressa_HIv1___RNAseq.g25692.t1	208	57	201	232	141	243	243	123	164	113	203	128	130	117	254	
Porites_compressa_HIv1___RNAseq.g25693.t1	458	153	330	429	454	564	815	219	493	387	449	288	359	299	332	
Porites_compressa_HIv1___RNAseq.g25694.t1	1371	262	531	267	1268	436	1637	305	308	357	698	958	785	454	99	
Porites_compressa_HIv1___RNAseq.g25695.t2	366	153	278	339	383	446	324	190	469	238	339	265	155	229	274	
Porites_compressa_HIv1___RNAseq.g25696.t1	5	1	4	1	2	3	0	2	9	1	4	0	5	2	6	
Porites_compressa_HIv1___RNAseq.g25697.t1	144	47	96	63	90	94	112	56	148	89	111	75	88	37	50	
Porites_compressa_HIv1___RNAseq.g25698.t1	264	93	257	322	217	311	376	134	328	213	356	228	216	166	161	
Porites_compressa_HIv1___RNAseq.g25699.t1	89	18	64	56	34	82	70	27	79	46	48	37	28	19	30	
Porites_compressa_HIv1___RNAseq.g257.t1	56	32	50	146	61	49	77	27	49	52	52	39	27	92	37	
Porites_compressa_HIv1___RNAseq.g2570.t1	1	19	6	20	0	25	27	23	0	27	0	18	3	6	0	
Porites_compressa_HIv1___RNAseq.g25700.t1	91	26	74	99	71	106	126	39	90	57	83	62	57	45	83	
Porites_compressa_HIv1___RNAseq.g25701.t1	218	39	156	220	131	294	103	89	158	96	193	93	145	107	146	
Porites_compressa_HIv1___RNAseq.g25702.t1	180	84	259	428	209	286	401	120	297	198	242	141	126	282	134	
Porites_compressa_HIv1___RNAseq.g25704.t1	395	90	218	233	200	332	581	137	245	119	211	163	155	161	222	
Porites_compressa_HIv1___RNAseq.g25706.t1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g25707.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Porites_compressa_HIv1___RNAseq.g25709.t1	27	2	10	8	24	15	38	4	17	8	7	11	8	7	9	
Porites_compressa_HIv1___RNAseq.g2571.t1	0	1	2	2	5	2	2	4	2	2	1	1	2	0	0	
Porites_compressa_HIv1___RNAseq.g25712.t1	4605	20167	7763	342	2445	244	23198	42906	8239	32945	23779	3713	1443	223	109	
Porites_compressa_HIv1___RNAseq.g25713.t1	123	541	175	36	55	14	561	2104	265	1064	1116	310	91	7	4	
Porites_compressa_HIv1___RNAseq.g25714.t1	3897	10104	3331	97	1300	122	12867	24241	3937	21824	9784	1594	921	97	36	
Porites_compressa_HIv1___RNAseq.g25717.t1	1126	535	1702	8	381	10	809	774	783	795	607	3	678	6	404	
Porites_compressa_HIv1___RNAseq.g25718.t1	11	0	4	9	5	2	9	8	4	6	8	0	11	0	7	
Porites_compressa_HIv1___RNAseq.g25719.t1	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g2572.t1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	
Porites_compressa_HIv1___RNAseq.g25721.t1	0	1	10	181	8	1	68	4	162	145	10	127	137	93	0	
Porites_compressa_HIv1___RNAseq.g25722.t1	17	3	1	67	29	46	34	12	87	121	6	75	46	65	17	
Porites_compressa_HIv1___RNAseq.g25723.t1	48	0	11	0	7	0	2	0	21	65	5	1	0	3	0	
Porites_compressa_HIv1___RNAseq.g25724.t1	104	0	29	0	696	2	70	0	56	9	583	12	0	275	0	
Porites_compressa_HIv1___RNAseq.g25725.t1	13	0	19	0	13	0	22	0	7	2	4	0	0	4	0	
Porites_compressa_HIv1___RNAseq.g25726.t1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g25727.t1	3	3	6	35	8	22	3	0	14	4	16	14	7	9	6	
Porites_compressa_HIv1___RNAseq.g25728.t2	8	3	1	6	11	13	0	1	0	4	24	3	3	2	2	
Porites_compressa_HIv1___RNAseq.g25729.t1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g2573.t1	0	8	1	87	47	25	7	8	1	26	1	15	5	20	4	
Porites_compressa_HIv1___RNAseq.g25730.t1	538	180	427	764	507	687	544	303	538	336	672	466	498	418	413	
Porites_compressa_HIv1___RNAseq.g25731.t1	938	305	857	1307	609	1008	1249	389	861	555	663	617	598	589	798	
Porites_compressa_HIv1___RNAseq.g25732.t1	133	34	79	38	49	41	40	33	63	56	85	32	151	41	36	
Porites_compressa_HIv1___RNAseq.g25733.t1	7	2	2	5	2	1	2	1	0	3	4	0	3	0	3	
Porites_compressa_HIv1___RNAseq.g25734.t1	70	34	36	43	35	82	61	39	78	38	72	40	52	54	35	
Porites_compressa_HIv1___RNAseq.g25735.t2	1122	424	1157	1621	1097	959	680	437	850	624	1016	622	976	884	1381	
Porites_compressa_HIv1___RNAseq.g25736.t1	395	70	261	188	214	222	98	124	171	118	218	123	171	141	128	
Porites_compressa_HIv1___RNAseq.g25737.t1	0	20	59	42	279	462	15	74	582	253	287	73	6	1	160	
Porites_compressa_HIv1___RNAseq.g2574.t1	0	4	0	1	0	30	8	8	0	13	1	1	0	32	0	
Porites_compressa_HIv1___RNAseq.g25740.t1	208	80	162	234	207	245	285	114	172	134	265	145	175	127	164	
Porites_compressa_HIv1___RNAseq.g25741.t1	14083	6074	8843	4890	9422	7500	9953	4403	11661	9988	5662	4250	10295	6553	5736	
Porites_compressa_HIv1___RNAseq.g25742.t1	30	16	14	26	30	21	36	14	22	7	11	27	18	17	25	
Porites_compressa_HIv1___RNAseq.g25743.t1	235	78	201	214	250	245	218	102	254	187	248	118	172	109	137	
Porites_compressa_HIv1___RNAseq.g25744.t1	469	193	388	528	357	635	739	249	703	275	548	353	296	266	338	
Porites_compressa_HIv1___RNAseq.g25745.t1	73	40	87	78	82	127	133	55	134	71	148	72	68	67	77	
Porites_compressa_HIv1___RNAseq.g25746.t1	389	111	384	616	354	651	540	218	394	271	450	329	302	324	440	
Porites_compressa_HIv1___RNAseq.g25748.t1	150	64	90	107	91	116	100	77	117	73	110	95	126	49	88	
Porites_compressa_HIv1___RNAseq.g25749.t1	104	44	94	107	196	140	102	69	123	79	107	113	68	51	89	
Porites_compressa_HIv1___RNAseq.g25750.t1	11	0	4	6	10	2	7	2	6	2	7	4	7	5	7	
Porites_compressa_HIv1___RNAseq.g25752.t1	48	24	32	21	87	103	77	44	133	61	30	77	32	20	46	
Porites_compressa_HIv1___RNAseq.g25753.t1	21	7	12	13	16	25	30	10	45	25	25	14	11	6	16	
Porites_compressa_HIv1___RNAseq.g25754.t1	35	17	35	35	32	44	52	20	44	25	52	23	30	17	23	
Porites_compressa_HIv1___RNAseq.g25756.t1	22	23	30	74	30	89	63	30	72	26	56	32	29	14	46	
Porites_compressa_HIv1___RNAseq.g25757.t1	28	12	62	28	82	61	14	27	62	56	53	32	8	19	26	
Porites_compressa_HIv1___RNAseq.g25758.t1	409	163	311	286	405	379	559	182	531	293	436	278	239	262	321	
Porites_compressa_HIv1___RNAseq.g25759.t1	145	49	208	220	84	195	258	106	133	86	128	79	80	184	113	
Porites_compressa_HIv1___RNAseq.g2576.t1	132	75	42	47	67	113	113	86	116	94	87	35	70	33	25	
Porites_compressa_HIv1___RNAseq.g25760.t1	13	2	23	30	16	25	13	11	14	7	29	17	10	11	17	
Porites_compressa_HIv1___RNAseq.g25761.t1	138	66	91	222	140	193	112	127	287	101	179	78	102	15	103	
Porites_compressa_HIv1___RNAseq.g25762.t1	15	0	7	11	3	6	1	5	4	4	13	6	1	4	2	
Porites_compressa_HIv1___RNAseq.g25766.t1	304	68	301	176	262	249	272	125	198	164	253	185	173	81	121	
Porites_compressa_HIv1___RNAseq.g25767.t1	144	45	97	99	73	162	192	69	254	59	113	58	99	110	123	
Porites_compressa_HIv1___RNAseq.g25769.t1	0	0	2	0	0	0	0	2	3	1	5	1	3	0	6	
Porites_compressa_HIv1___RNAseq.g2577.t1	34	10	43	38	44	56	61	20	57	30	52	32	20	30	26	
Porites_compressa_HIv1___RNAseq.g25770.t1	18	9	15	21	21	38	24	12	21	23	13	14	17	11	37	
Porites_compressa_HIv1___RNAseq.g25772.t1	52	3	5	2	121	9	5	0	13	11	4	10	17	9	5	
Porites_compressa_HIv1___RNAseq.g25773.t1	107	37	42	59	62	138	234	47	90	47	70	38	30	30	94	
Porites_compressa_HIv1___RNAseq.g25774.t1	100	7	41	20	51	36	72	22	53	51	37	47	44	18	48	
Porites_compressa_HIv1___RNAseq.g25775.t1	372	102	388	716	403	537	333	211	512	369	340	280	278	504	210	
Porites_compressa_HIv1___RNAseq.g25776.t1	23	3	9	5	12	2	5	3	15	5	0	34	50	8	1	
Porites_compressa_HIv1___RNAseq.g25779.t1	230	77	130	162	116	293	208	97	106	80	207	86	122	78	196	
Porites_compressa_HIv1___RNAseq.g2578.t1	30	13	28	53	33	58	66	20	41	26	62	30	27	19	26	
Porites_compressa_HIv1___RNAseq.g25780.t1	71	30	84	82	75	84	60	32	107	65	109	52	55	91	48	
Porites_compressa_HIv1___RNAseq.g25783.t1	148	37	116	67	87	159	70	46	111	139	83	72	89	62	102	
Porites_compressa_HIv1___RNAseq.g25784.t1	90	25	99	71	109	84	130	60	89	141	184	73	74	42	62	
Porites_compressa_HIv1___RNAseq.g25785.t1	74	13	31	53	45	45	19	37	39	33	44	1	18	28	22	
Porites_compressa_HIv1___RNAseq.g25787.t1	213	98	188	183	129	169	230	138	204	138	174	105	110	67	133	
Porites_compressa_HIv1___RNAseq.g25788.t1	93	28	97	116	67	202	166	55	144	55	99	83	67	41	122	
Porites_compressa_HIv1___RNAseq.g25789.t1	3180	1023	2769	4324	2078	3339	2674	1757	2836	1740	2216	2108	1788	1621	2656	
Porites_compressa_HIv1___RNAseq.g2579.t1	67	51	138	201	99	121	99	50	154	86	134	93	43	142	45	
Porites_compressa_HIv1___RNAseq.g25791.t1	277	85	248	277	175	260	248	93	202	155	141	124	124	125	168	
Porites_compressa_HIv1___RNAseq.g25792.t1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g25793.t1	1	0	8	4	5	16	2	5	7	0	8	1	1	2	3	
Porites_compressa_HIv1___RNAseq.g25794.t1	16	7	13	20	21	42	10	24	22	23	18	4	5	16	16	
Porites_compressa_HIv1___RNAseq.g25795.t1	20	2	13	24	13	28	7	3	13	26	7	1	2	5	19	
Porites_compressa_HIv1___RNAseq.g25796.t1	135	40	85	100	73	105	116	16	168	110	69	145	76	82	72	
Porites_compressa_HIv1___RNAseq.g25797.t1	147	48	117	168	108	209	133	62	153	98	112	107	91	74	89	
Porites_compressa_HIv1___RNAseq.g25798.t1	556	172	502	892	543	844	565	273	497	541	450	409	419	565	477	
Porites_compressa_HIv1___RNAseq.g2580.t1	143	73	161	159	122	90	194	117	178	105	137	134	130	70	88	
Porites_compressa_HIv1___RNAseq.g25800.t1	36	9	9	20	27	66	39	20	33	13	22	30	20	5	11	
Porites_compressa_HIv1___RNAseq.g25801.t1	108	27	67	96	104	160	101	46	99	66	131	92	60	52	148	
Porites_compressa_HIv1___RNAseq.g25802.t1	399	143	354	833	265	478	621	260	338	342	357	249	207	234	632	
Porites_compressa_HIv1___RNAseq.g25803.t1	350	134	241	274	318	366	341	212	361	234	380	305	289	179	232	
Porites_compressa_HIv1___RNAseq.g25804.t1	106	28	123	164	98	109	169	65	104	74	119	48	101	74	99	
Porites_compressa_HIv1___RNAseq.g25805.t1	159	40	112	125	83	120	190	81	154	73	125	62	78	65	101	
Porites_compressa_HIv1___RNAseq.g25806.t1	226	45	120	171	140	244	226	106	95	95	118	99	60	83	158	
Porites_compressa_HIv1___RNAseq.g25807.t1	84	11	45	34	27	58	26	12	45	19	68	21	53	30	93	
Porites_compressa_HIv1___RNAseq.g25808.t1	61	18	21	45	43	38	49	21	15	63	42	0	18	14	7	
Porites_compressa_HIv1___RNAseq.g25809.t1	7	2	7	41	13	48	14	1	16	5	41	46	18	12	47	
Porites_compressa_HIv1___RNAseq.g2581.t1	620	129	569	997	665	741	576	262	1101	622	719	463	509	208	503	
Porites_compressa_HIv1___RNAseq.g25810.t1	74	43	144	262	82	159	87	71	127	69	79	64	33	44	205	
Porites_compressa_HIv1___RNAseq.g25811.t1	555	446	948	984	363	866	942	525	1292	749	706	576	423	134	1118	
Porites_compressa_HIv1___RNAseq.g25814.t1	39	13	75	296	63	193	57	41	177	29	98	67	106	68	124	
Porites_compressa_HIv1___RNAseq.g25818.t1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g25819.t1	343	76	258	720	223	616	243	169	872	225	459	309	489	275	483	
Porites_compressa_HIv1___RNAseq.g25820.t1	66	16	42	47	46	74	61	19	59	36	108	45	30	23	56	
Porites_compressa_HIv1___RNAseq.g25821.t1	524	178	564	825	543	695	624	238	631	356	682	406	607	401	607	
Porites_compressa_HIv1___RNAseq.g25823.t1	1387	744	1979	2651	1311	1047	1457	674	1651	955	1762	969	962	1268	987	
Porites_compressa_HIv1___RNAseq.g25826.t1	215	56	213	306	267	632	457	235	143	179	285	114	135	154	268	
Porites_compressa_HIv1___RNAseq.g25828.t1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g25829.t1	10	1	6	10	8	29	5	8	2	3	13	11	1	23	23	
Porites_compressa_HIv1___RNAseq.g25830.t1	45	16	32	34	36	79	43	26	44	35	33	27	66	32	40	
Porites_compressa_HIv1___RNAseq.g25831.t1	582	219	413	768	463	601	599	229	499	487	487	439	347	592	416	
Porites_compressa_HIv1___RNAseq.g25832.t1	15	4	16	27	14	22	29	8	12	8	24	17	16	15	17	
Porites_compressa_HIv1___RNAseq.g25833.t1	24	12	44	36	27	46	67	21	44	22	40	26	20	24	41	
Porites_compressa_HIv1___RNAseq.g25834.t1	0	0	1	0	2	0	3	0	0	0	1	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g25835.t1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g25836.t1	351	100	228	169	247	214	290	171	363	185	293	234	209	120	317	
Porites_compressa_HIv1___RNAseq.g25840.t1	144	21	87	244	66	220	96	60	101	36	81	100	85	122	172	
Porites_compressa_HIv1___RNAseq.g25841.t1	5	0	3	3	5	3	5	4	4	3	0	2	1	2	18	
Porites_compressa_HIv1___RNAseq.g25842.t1	10	1	7	5	5	5	10	2	3	5	4	0	3	6	15	
Porites_compressa_HIv1___RNAseq.g25843.t1	8	1	5	2	6	8	7	2	4	2	9	1	2	4	10	
Porites_compressa_HIv1___RNAseq.g25844.t1	1	0	0	0	0	12	1	0	0	0	0	0	0	2	0	
Porites_compressa_HIv1___RNAseq.g25846.t1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	4	
Porites_compressa_HIv1___RNAseq.g25848.t1	5	2	3	1	4	4	3	3	3	3	2	1	1	0	2	
Porites_compressa_HIv1___RNAseq.g25849.t1	1	0	1	0	2	0	40	3	3	0	0	2	0	0	0	
Porites_compressa_HIv1___RNAseq.g2585.t1	158	114	23	2	75	426	479	41	186	185	139	31	27	26	344	
Porites_compressa_HIv1___RNAseq.g25850.t1	290	133	304	231	240	301	320	198	413	196	327	188	147	195	228	
Porites_compressa_HIv1___RNAseq.g25851.t1	80	47	75	112	91	117	102	33	129	63	115	62	95	52	72	
Porites_compressa_HIv1___RNAseq.g25853.t1	115	22	87	82	56	113	159	42	98	50	76	40	71	44	72	
Porites_compressa_HIv1___RNAseq.g25854.t1	0	0	0	2	2	2	0	0	0	0	1	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g25855.t1	683	198	526	827	514	871	724	350	701	344	850	474	462	532	441	
Porites_compressa_HIv1___RNAseq.g25857.t1	73	24	91	80	34	111	77	51	72	55	67	61	50	53	143	
Porites_compressa_HIv1___RNAseq.g25858.t1	150	19	103	331	89	257	127	56	95	78	123	82	191	151	191	
Porites_compressa_HIv1___RNAseq.g25859.t1	20	2	6	4	8	2	10	3	12	7	5	4	16	1	5	
Porites_compressa_HIv1___RNAseq.g2586.t1	267	271	75	21	115	8	0	192	1285	33	24	152	241	15	166	
Porites_compressa_HIv1___RNAseq.g25861.t1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g25862.t1	1398	582	1701	2053	956	1212	2358	656	994	1981	1029	956	715	1576	1115	
Porites_compressa_HIv1___RNAseq.g25863.t1	16	2	12	26	4	3	19	2	2	8	4	3	0	59	6	
Porites_compressa_HIv1___RNAseq.g25864.t1	23	7	44	274	30	91	30	30	30	34	55	40	17	302	39	
Porites_compressa_HIv1___RNAseq.g25865.t1	2	0	1	4	2	16	5	1	1	0	2	3	1	0	19	
Porites_compressa_HIv1___RNAseq.g25866.t1	1	0	0	1	3	1	0	0	1	0	0	0	1	0	0	
Porites_compressa_HIv1___RNAseq.g25867.t1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g2587.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Porites_compressa_HIv1___RNAseq.g25870.t1	0	0	2	0	0	1	0	2	0	0	0	0	0	0	3	
Porites_compressa_HIv1___RNAseq.g25871.t1	3	2	18	66	14	89	12	12	13	8	23	34	9	27	12	
Porites_compressa_HIv1___RNAseq.g25872.t1	6	0	10	95	5	20	10	11	1	3	11	25	1	10	70	
Porites_compressa_HIv1___RNAseq.g25873.t1	61	9	57	80	60	262	16	25	29	17	101	48	23	103	40	
Porites_compressa_HIv1___RNAseq.g25874.t1	24	14	21	56	25	73	14	8	18	14	45	37	29	48	113	
Porites_compressa_HIv1___RNAseq.g25875.t1	2	1	17	1	0	104	0	0	0	22	1	4	13	0	0	
Porites_compressa_HIv1___RNAseq.g25876.t1	320	84	179	154	215	266	425	108	246	81	150	127	128	58	140	
Porites_compressa_HIv1___RNAseq.g25877.t1	123	41	115	168	140	140	169	72	162	92	158	104	144	75	65	
Porites_compressa_HIv1___RNAseq.g25878.t1	408	141	436	544	360	670	466	234	391	290	334	338	315	273	510	
Porites_compressa_HIv1___RNAseq.g25879.t1	125	49	118	261	152	400	140	92	180	64	377	219	176	147	399	
